timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563559205.333797,60.034,34390.191,138.961
1563559209.125087,60.226,34422.77,138.898
1563559213.2242217,60.196,34407.602,138.625
1563559216.9218755,60.188,34440.492,138.852
1563559220.928438,60.143,34461.664,138.852
1563559226.0658417,60.021,34325.477,138.508
1563559229.4981215,60.013,34335.051,138.695
1563559233.1710331,60.056,34541.441,138.227
1563559237.4069557,60.162,35142.398,138.789
1563559241.524457,60.04,37179.992,138.312
1563559245.5987074,60.194,37732.32,138.812
1563559249.554799,60.044,37880.383,138.609
1563559253.4366355,60.109,37633.738,138.195
1563559257.438414,60.036,37670.977,138.219
1563559261.4491282,60.154,37688.723,138.414
1563559265.666431,60.126,37437.637,138.062
1563559269.6324093,60.149,37461.527,138.508
1563559273.4656987,60.169,37579.359,138.352
1563559277.4631298,60.017,37865.758,138.406
1563559281.4654334,60.096,37838.664,138.703
1563559285.4611995,60.051,37820.316,138.164
1563559289.4645064,60.219,34673.848,138.727
1563559293.4804478,60.036,34503.004,138.094
1563559297.4784489,60.06,34419.641,138.641
1563559301.501728,60.195,38245.758,138.75
1563559305.5919023,60.053,37913.023,138.703
1563559309.5082192,60.249,38005.023,138.273
1563559313.488838,60.232,38071.414,138.266
1563559317.5149708,60.135,37887.191,138.375
1563559321.5107877,60.152,38139.18,138.328
1563559325.5293438,60.197,38137.062,138.305
1563559329.5570664,60.154,37940.898,138.758
1563559333.510805,60.053,34743.617,138.992
1563559337.5440645,60.071,34717.746,138.625
1563559341.5817664,60.082,34659.098,138.781
1563559345.5433936,60.07,34707.199,138.703
1563559349.5449276,60.102,34656.117,138.586
1563559353.5410063,60.141,34587.172,138.883
1563559357.5773518,60.198,34766.57,138.805
1563559361.5423186,60.044,34304.688,138.977
1563559365.9336145,60.064,34491.5,138.164
1563559369.555868,60.072,34482.105,138.992
1563559373.5664034,60.07,34435.41,138.664
1563559377.6217604,60.116,34370.273,138.57
1563559382.587661,60.067,34477.262,138.758
1563559385.5731974,60.069,34390.047,138.766
1563559389.5843108,60.121,34337.0,138.055
1563559393.5868995,60.089,38102.461,138.797
1563559397.5935493,60.192,36679.973,138.062
1563559401.5832632,60.051,36853.477,138.172
1563559405.5951123,60.002,36535.133,138.109
1563559409.5925612,60.189,36548.969,138.328
1563559413.6323702,60.229,36528.805,138.906
1563559417.6142557,60.249,36515.156,138.297
1563559421.6285815,60.243,36501.84,138.891
1563559425.9412918,60.213,36524.691,138.859
1563559429.6076052,60.124,36541.672,138.867
1563559433.6274376,60.072,36558.219,138.531
1563559437.63183,60.082,36826.738,138.195
1563559441.6096506,60.107,36822.992,138.734
1563559445.6151733,60.118,36495.992,137.531
1563559449.628604,60.167,36435.551,137.516
1563559453.628826,60.187,36430.672,137.703
1563559457.632682,60.158,36444.855,138.352
1563559461.6375778,60.139,36501.746,137.203
1563559465.6261473,60.062,36564.18,138.609
1563559469.6402647,60.032,36611.953,138.469
1563559473.6783733,60.066,36628.781,138.648
1563559477.6438985,60.039,36673.961,138.836
1563559481.6731887,60.246,36701.031,138.695
1563559485.7594967,60.245,36732.672,138.68
1563559489.6822526,60.22,36746.953,138.547
1563559493.6674876,60.183,36787.441,138.602
1563559497.6668684,60.17,36808.379,138.977
1563559501.6864913,60.144,36819.582,138.258
1563559505.7004266,60.244,36571.93,138.727
1563559509.703901,60.023,36562.828,138.086
1563559513.735858,60.05,36565.887,137.25
1563559517.6976154,60.038,36606.891,137.469
1563559521.685212,60.04,36355.91,137.516
1563559525.690774,60.064,36579.602,138.305
1563559529.702275,60.191,37120.922,138.477
1563559533.7017472,60.197,37149.621,138.609
1563559537.7258537,60.177,37174.457,137.172
1563559541.7269099,60.201,37189.695,137.273
1563559545.9351273,60.062,37154.648,138.164
1563559549.7164397,60.073,37335.055,138.938
1563559553.716819,60.17,37251.34,138.828
1563559557.7353537,60.087,36970.816,138.477
1563559561.7334604,60.101,36952.855,138.695
1563559565.791589,60.093,36953.988,138.164
1563559569.726416,60.073,36921.469,138.008
1563559573.734301,60.205,37114.246,138.547
1563559577.7770748,60.205,37085.016,138.07
1563559581.7720637,60.183,37051.473,138.305
1563559585.7555027,60.231,36979.07,138.039
1563559589.7740345,60.217,39824.586,138.547
1563559593.7617435,60.13,39892.465,138.938
1563559597.7726483,60.114,39891.188,138.078
1563559601.7947066,60.1,39879.215,138.805
1563559606.105852,60.154,39857.0,138.773
1563559609.7991269,60.086,39908.688,138.25
1563559613.7751217,60.004,39908.145,138.875
1563559617.8039787,60.071,39916.949,138.266
1563559621.797869,60.085,39690.879,137.273
1563559625.7937615,59.784,39742.094,137.391
1563559629.8068902,59.971,39793.117,137.32
1563559633.823753,59.857,40108.434,137.508
1563559637.8176494,59.889,40120.027,137.867
1563559641.838973,59.873,40118.98,137.562
1563559645.8116736,59.895,40107.898,137.203
1563559649.8371136,60.157,39850.289,138.336
1563559653.865054,60.164,40105.676,138.086
1563559657.8307443,60.223,39809.117,137.344
1563559661.86279,60.18,39837.477,138.102
1563559666.0982263,60.183,40083.141,137.539
1563559669.8304882,60.209,40111.215,137.227
1563559673.8570487,60.119,40165.914,138.867
1563559677.8773582,60.053,39958.539,138.07
1563559681.875731,60.034,39707.492,137.5
1563559685.8609767,60.044,38644.258,138.289
1563559689.8814774,60.249,36926.176,138.391
1563559693.9191217,60.058,37116.852,138.195
1563559697.9102018,60.128,37098.211,138.531
1563559701.9168582,60.089,37107.078,138.703
1563559705.9015868,60.062,36865.895,138.633
1563559709.8846805,60.082,36881.875,138.086
1563559713.8959095,60.154,36106.125,138.273
1563559717.893104,60.107,36130.047,138.383
1563559721.897319,60.037,36181.57,138.438
1563559726.1027937,60.017,36197.074,138.039
1563559729.9515407,60.242,36231.801,138.391
1563559733.9122932,60.247,36218.898,138.586
1563559737.9306169,60.247,36228.77,138.719
1563559741.9127796,60.06,36184.93,138.461
1563559745.955099,60.104,36115.32,138.578
1563559749.9901335,60.128,36349.949,137.172
1563559753.9474669,60.119,36120.594,138.438
1563559757.950891,60.106,36162.336,138.938
1563559761.935287,60.093,36195.57,137.344
1563559765.9634273,60.056,36222.766,138.672
1563559769.9533708,60.02,36500.105,137.328
1563559774.3078647,60.046,36500.562,138.516
1563559777.9840586,60.048,36185.527,138.648
1563559781.9614136,60.109,36138.637,137.234
1563559786.09881,60.111,36106.961,137.57
1563559790.009033,60.11,36124.648,138.0
1563559793.9925022,60.079,36134.039,137.32
1563559798.0078828,60.044,36158.711,137.188
1563559801.9880958,60.13,36175.227,138.219
1563559806.0033374,60.134,36176.02,138.938
1563559810.0020278,60.114,36164.305,138.375
1563559814.0214057,60.126,36133.273,138.492
1563559817.9989219,60.149,36331.336,138.93
1563559822.0024295,60.172,36313.277,138.297
1563559826.020707,60.05,30732.25,138.0
1563559830.0314672,60.161,30671.633,138.828
1563559834.0059545,60.192,30632.959,138.305
1563559838.0363958,60.007,30593.52,138.031
1563559842.032203,60.047,30701.336,138.516
1563559846.2749054,60.042,30694.191,138.844
1563559850.0568695,60.001,30592.619,138.93
1563559854.0684025,60.211,30604.359,138.727
1563559858.061313,60.112,30656.895,138.172
1563559862.063968,60.093,30818.535,138.93
1563559866.0612032,60.025,30749.855,138.0
1563559870.0553987,60.218,30781.73,138.539
1563559874.0862186,60.16,30815.453,138.922
1563559878.0829804,60.194,30823.277,138.031
1563559882.0851579,60.151,30722.219,138.484
1563559886.0746462,60.18,30825.52,138.75
1563559890.0864248,60.25,30771.211,138.375
1563559894.0798934,60.028,30735.684,138.648
1563559898.110055,60.013,30742.373,138.438
1563559902.1028562,60.216,30633.441,138.539
1563559906.272913,60.2,30644.078,138.625
1563559910.099632,60.039,27913.766,138.609
1563559932.7264755,60.233,27983.205,138.625
1563559933.5746982,60.235,27975.906,138.641
1563559938.6128569,60.247,27978.365,138.078
1563559941.583137,60.234,27978.834,138.305
1563559948.6247656,60.23,27990.307,138.672
1563559949.6012664,60.226,27982.248,138.992
1563559954.6224685,60.246,27954.988,138.062
1563559972.8778987,60.024,28087.992,138.641
1563559973.7228084,60.024,28083.707,138.641
1563559977.763799,60.124,22099.838,138.062
1563559981.7351205,60.098,22029.377,138.219
1563559985.7542295,60.13,22032.574,138.492
1563559989.7516656,60.211,22164.352,138.547
1563559993.7446558,60.017,22131.473,138.266
1563559997.7452383,60.013,22102.895,138.391
1563560001.7641628,60.205,21984.584,138.953
1563560005.7525432,60.194,21993.934,138.461
1563560009.7793167,60.158,22116.523,138.562
1563560013.8121867,60.196,21978.754,138.594
1563560017.792348,60.249,22097.939,138.164
1563560021.7817955,60.073,22090.461,138.953
1563560026.1091697,60.154,22069.322,138.766
1563560029.7946694,60.188,22037.598,138.109
1563560033.7760682,60.025,22035.68,138.867
