timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563516004.344563,60.119,8332.679,141.266
1563516008.3030045,60.115,8344.812,141.852
1563516012.319639,60.016,8349.586,141.656
1563516016.3239663,60.163,8390.11,141.664
1563516020.3181891,60.003,8363.963,141.914
1563516024.316832,60.218,8412.812,141.727
1563516028.3283484,60.152,8432.668,141.109
1563516032.3427563,60.126,8347.013,141.906
1563516036.3527467,60.09,8286.074,141.133
1563516040.3599193,60.243,8304.777,141.797
1563516044.4835358,60.027,8281.39,141.141
1563516048.4014373,60.245,8273.624,141.805
1563516052.3613746,60.173,8259.811,141.844
1563516056.3694122,60.035,8316.922,141.812
1563516060.3691185,60.248,8282.977,141.0
1563516064.4031272,60.22,8283.445,141.258
1563516068.3826215,60.13,8318.474,141.57
1563516072.3875618,60.063,8351.846,141.289
1563516076.423322,60.156,8399.622,141.414
1563516080.453077,60.098,8326.468,141.336
1563516084.4558372,60.217,8353.549,141.82
1563516088.408379,60.124,8329.734,141.719
1563516092.4483962,60.111,8357.654,141.172
1563516096.439097,60.001,8351.684,141.055
1563516100.4419513,60.078,8332.487,141.797
1563516110.9665923,60.005,8376.869,141.328
1563516111.8178864,60.227,8364.834,141.062
1563516115.8139746,59.907,8354.516,141.5
1563516119.8159788,59.947,8323.774,141.305
1563516123.8432446,59.918,8333.434,141.07
1563516127.831854,59.826,8304.797,141.664
1563516131.845691,59.88,8289.752,141.062
1563516135.8454406,59.812,8321.754,141.039
1563516139.8597772,59.801,8349.688,141.789
1563516143.898222,59.773,8258.676,141.328
1563516147.8677838,59.934,8258.819,141.016
1563516151.8913956,59.763,8353.277,141.25
1563516155.9000401,59.959,8351.596,141.812
1563516159.9191272,59.867,8322.609,141.258
1563516164.1546805,59.955,8364.324,141.742
1563516167.9010155,59.922,8371.505,141.531
1563516171.909872,59.826,8388.217,141.438
1563516175.9153366,59.761,8445.032,141.93
1563516179.9367275,60.219,8452.939,141.883
1563516183.9303617,60.046,8345.957,141.68
1563516187.9417937,60.032,8291.623,141.812
1563516191.9358196,60.24,8344.506,141.57
1563516195.9839807,60.139,8366.633,141.406
1563516199.9541762,60.123,8356.591,141.32
1563516203.9767904,60.151,8331.561,141.586
1563516207.9624832,60.049,8282.902,141.773
1563516211.964533,60.13,8354.426,141.289
1563516216.0359676,60.187,8381.273,141.586
1563516219.9748282,60.081,8331.209,141.492
1563516224.1532726,60.113,8326.189,141.609
1563516228.0162392,60.205,8327.939,141.703
1563516232.0293567,60.116,8336.557,141.523
1563516236.0071983,60.243,8362.287,141.07
1563516240.0291224,59.905,8323.438,141.211
1563516244.0186043,59.785,8323.527,141.852
1563516248.0264702,59.876,8256.076,141.422
1563516252.0288172,59.95,8315.454,141.953
1563516256.086905,60.12,8333.314,141.523
1563516260.0806196,60.189,8364.908,141.531
1563516264.094055,60.172,8443.538,141.445
1563516268.0730877,60.145,8428.514,141.406
1563516272.1259446,60.229,8410.639,141.445
1563516276.0845568,60.23,8396.205,141.398
1563516280.1108265,60.246,8510.878,141.148
1563516284.153669,60.22,8476.039,141.148
1563516288.1241033,60.128,8384.57,141.891
1563516292.095589,60.185,8394.311,141.945
1563516296.1076562,60.152,8450.879,141.859
1563516300.1216583,60.169,8436.785,141.047
1563516304.1375914,60.048,8435.756,141.008
1563516308.139053,60.107,8452.011,141.656
1563516312.1602974,60.136,8415.446,141.164
1563516316.2344933,60.088,8391.123,141.148
1563516320.1832507,60.033,8409.793,141.336
1563516324.1808617,60.171,8435.193,141.844
1563516328.1881557,60.181,8409.406,141.938
1563516332.2181199,60.044,8384.461,141.82
1563516336.2065935,60.113,8432.541,141.734
1563516340.1932507,60.184,8390.775,141.039
1563516344.321644,60.129,8411.742,141.977
1563516348.2216265,60.245,8434.949,141.609
1563516352.2406006,60.041,8390.58,141.633
1563516356.229322,60.001,8387.709,141.984
1563516360.2420177,60.136,8435.846,141.117
1563516364.2379076,60.104,8433.146,141.727
1563516368.2576523,60.052,8432.314,141.922
1563516372.2918093,60.125,8436.205,141.344
1563516376.262025,60.12,8435.666,141.797
1563516380.2755358,60.194,8446.852,141.836
1563516384.2657502,60.018,8348.962,141.008
1563516388.3490202,60.175,8631.342,141.289
1563516392.2751057,60.078,8520.239,141.148
1563516396.3155644,60.238,8610.456,141.422
1563516400.2895799,60.207,8628.648,141.391
1563516404.492831,60.235,8575.648,141.086
1563516408.2898421,60.226,8544.115,141.492
1563516412.3222778,60.237,8540.86,141.188
1563516416.3212874,60.025,8516.941,141.688
1563516420.3177834,60.18,8565.033,141.039
1563516424.3160274,60.189,8603.07,141.766
1563516428.3300312,60.217,8548.285,141.031
1563516432.3410282,60.154,8562.047,141.383
1563516436.3296993,60.214,8602.963,141.516
1563516440.4027245,60.238,8575.033,141.477
1563516444.345761,60.183,8540.314,141.445
1563516448.4026165,60.093,8554.462,141.289
1563516452.3520746,60.241,8575.234,141.18
1563516456.4295878,60.173,8522.888,141.992
1563516460.4581857,60.223,8536.996,141.25
1563516464.6628683,60.089,8574.758,141.469
1563516468.4959195,60.061,8524.28,141.773
1563516472.6137767,60.071,8534.619,141.266
1563516476.4840302,60.138,8539.312,141.68
1563516480.396598,60.225,8540.502,141.992
1563516484.4355388,60.04,8550.119,141.422
1563516488.586018,60.173,8461.596,141.539
1563516492.5188124,60.157,8455.534,141.547
1563516496.6558244,60.015,8475.17,141.688
1563516500.606812,60.037,8483.092,141.203
1563516504.444149,60.163,8520.852,141.164
1563516508.5782163,60.041,8554.374,141.828
1563516512.4480247,60.232,8450.116,141.219
1563516516.9902997,60.182,8487.986,141.391
1563516520.5108976,60.248,8468.633,141.633
1563516524.6624236,60.164,8505.146,141.055
1563516528.8968031,60.212,8489.889,141.672
1563516532.5840838,60.238,8497.439,141.352
1563516536.6102057,60.167,8494.645,141.625
1563516540.636066,60.073,8451.349,141.141
1563516544.495407,60.119,8470.983,141.586
1563516548.6177545,60.072,8509.469,141.438
1563516552.5348647,60.182,8454.646,141.195
1563516556.6923747,60.005,8475.947,141.938
1563516560.564927,60.19,8503.89,141.867
1563516564.5138474,60.235,8454.1,141.492
1563516568.654126,60.221,8455.328,141.156
1563516572.533745,60.193,8451.418,141.148
1563516576.6997235,60.009,8459.035,141.305
1563516580.5893204,59.84,8469.864,141.297
1563516585.17335,59.897,8508.108,141.602
1563516588.6643658,59.936,8451.478,141.117
1563516592.591221,59.79,8471.882,141.312
1563516596.7926216,59.827,8488.016,141.414
1563516600.5940151,59.775,8382.772,141.188
1563516604.7388685,59.881,8323.51,141.766
1563516608.6835947,59.868,8376.836,141.648
1563516612.6561644,59.87,8380.093,141.07
1563516616.6174684,60.054,8321.643,141.055
1563516620.887688,60.169,8362.799,141.109
1563516624.8653786,59.795,8321.465,141.047
1563516628.772153,59.977,8331.216,141.383
1563516632.7242124,59.819,8363.765,141.148
1563516636.7695532,59.827,8379.996,141.453
1563516640.8934772,59.975,8322.235,141.75
1563516644.9989555,59.898,8323.526,141.766
1563516648.7189622,59.988,8372.536,141.508
1563516652.6984575,59.93,8331.515,141.75
1563516656.7735956,59.935,8329.738,141.711
1563516660.8974566,59.908,8357.392,141.672
1563516664.8129435,59.775,8342.919,141.891
1563516668.9381037,59.768,8362.91,141.359
1563516672.814308,59.86,8365.636,141.578
1563516676.9042435,59.757,8362.967,141.648
1563516680.8161576,59.935,8363.471,141.109
1563516684.9397337,59.802,8377.506,141.359
1563516688.8628173,59.914,8362.605,141.398
1563516692.7704709,60.012,8356.832,141.469
1563516696.8926544,60.182,8332.212,141.828
1563516700.9220557,60.061,8379.181,141.375
1563516705.1729252,60.109,8363.856,141.102
1563516708.8111877,60.165,8383.91,141.617
1563516713.4977317,60.128,8260.519,141.445
1563516716.9874635,60.169,8280.879,141.68
1563516720.7985477,60.132,8339.344,141.133
1563516724.9345665,60.076,8325.909,141.477
1563516728.841714,60.018,8273.467,141.141
1563516732.876718,60.023,8310.431,141.406
1563516737.0437686,60.218,8261.61,141.508
1563516740.8962317,60.226,8338.748,141.648
1563516744.8178031,59.934,8320.795,141.664
1563516749.042637,59.949,8258.299,141.867
1563516752.8955107,59.766,8310.711,141.25
1563516756.9162428,59.915,8256.094,141.281
1563516760.9321592,59.848,8260.266,141.758
1563516765.1719973,59.905,8284.183,141.391
1563516768.9729822,59.995,8292.114,141.82
1563516773.1254823,59.884,8297.895,141.406
1563516777.0457315,59.926,8274.504,141.281
