timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563555606.7695127,60.005,28008.438,137.156
1563555610.510876,60.164,27877.457,137.492
1563555614.6851077,60.196,27858.824,137.797
1563555618.7382338,60.189,27850.506,137.578
1563555622.5850127,60.189,28014.895,137.023
1563555626.5216408,60.143,27917.043,137.938
1563555630.6779764,60.107,27924.268,137.367
1563555634.5437193,60.098,27784.926,137.586
1563555638.5160997,60.098,27932.617,137.703
1563555642.5334024,60.026,27800.201,137.586
1563555646.7205186,60.028,27804.021,137.594
1563555650.5936806,60.131,27892.742,137.336
1563555654.5338705,60.018,27860.357,137.484
1563555658.561233,60.002,28579.014,137.75
1563555662.6132302,60.098,30700.561,137.711
1563555666.6317694,60.016,30687.691,137.164
1563555670.871104,60.038,30680.609,137.5
1563555674.5762146,60.115,30808.979,137.586
1563555678.7501462,60.051,30675.736,137.859
1563555682.7453024,60.12,30666.818,137.82
1563555686.5829754,60.076,30673.4,137.922
1563555690.6165981,60.062,30678.467,137.047
1563555694.649729,60.218,30682.365,137.945
1563555698.6641626,60.042,30661.416,137.617
1563555702.809129,60.023,30698.777,137.969
1563555706.8880396,60.007,30679.943,137.602
1563555710.5998452,60.018,30666.516,137.492
1563555714.5971215,60.012,30548.137,137.172
1563555718.65873,60.219,27660.779,137.938
1563555722.6089966,60.085,27769.248,137.75
1563555726.8174403,60.048,27768.033,137.438
1563555730.8492582,60.051,27766.326,137.445
1563555734.7966883,60.0,27763.34,137.906
1563555738.6286044,60.075,33919.762,137.414
1563555742.6324677,60.234,33444.848,137.414
1563555746.6284292,60.078,33416.098,137.609
1563555750.82012,60.225,33426.824,137.281
1563555754.6649399,60.074,33449.691,137.32
1563555758.645519,60.067,33456.336,137.961
1563555762.69018,60.083,33467.484,137.422
1563555767.1514256,60.097,33448.836,137.5
1563555770.804974,60.151,33645.809,137.914
1563555774.64722,60.167,33340.746,137.133
1563555778.6753302,60.201,33332.43,137.047
1563555782.778595,60.016,33614.777,137.312
1563555786.7179978,60.02,33619.027,137.727
1563555790.6697648,60.005,33368.609,137.984
1563555794.722865,60.242,33389.359,137.867
1563555798.7221143,60.246,33711.203,137.414
1563555802.8708808,60.238,33772.789,137.078
1563555806.9216764,60.204,33539.207,137.984
1563555810.74561,60.183,33766.336,137.094
1563555814.6982255,60.187,33497.348,137.406
1563555818.7024207,60.002,33740.473,137.094
1563555822.8576183,59.845,33786.297,137.023
1563555827.0329375,59.793,33776.992,137.352
1563555830.9087586,59.976,33584.945,137.547
1563555834.7217906,59.953,33601.695,137.383
1563555838.7308974,59.856,34333.086,137.352
1563555842.831977,59.953,36557.254,137.266
1563555846.7804952,59.909,36600.828,137.805
1563555850.7371805,59.868,36378.301,137.469
1563555854.7748523,59.84,36380.941,137.805
1563555858.745252,59.862,36367.953,137.664
1563555862.8553865,59.793,36433.699,137.992
1563555866.7494354,59.972,36362.738,137.773
1563555901.4576325,59.923,36739.434,137.766
1563555905.6218843,59.883,36665.879,137.078
1563555909.457096,59.851,36555.945,137.781
1563555913.6026983,59.762,36504.352,137.562
1563555917.495786,60.219,38297.098,137.969
1563555921.6652417,60.005,36978.84,137.023
1563555925.4609668,60.026,36996.16,137.875
1563555929.5609155,60.245,37002.516,137.578
