timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563536450.879017,121.5,243.176,243.247,-29805.803,13247.147,34348.82,0.883,59.759,13.061,-14401.75,723.845,-16090.197,6281.202,312.871,6603.271,15753.125,1395.074,17306.148,0.917,-1.008,0.922,70.42,0.185,139.008
1563536454.8855224,121.5,243.156,243.209,-27562.477,14884.64,33279.812,0.875,59.792,4.593,-14502.812,721.335,-13848.589,6306.727,1992.328,6611.812,15779.375,2125.562,15341.35,0.916,-0.972,0.914,70.291,0.289,140.859
1563536458.886005,121.5,243.098,243.136,-27483.016,13179.605,33677.164,0.833,59.89,6.468,-14483.75,782.112,-13787.202,6257.559,421.211,6478.647,15766.0,2587.833,15279.737,0.918,-1.004,0.902,70.293,0.331,139.109
1563536462.8948443,121.0,243.014,243.041,-27521.033,12882.809,31710.07,0.871,59.798,6.968,-14514.125,712.251,-13791.57,6197.783,225.467,6487.125,15740.75,751.56,15244.854,0.919,-0.938,0.905,70.34,0.451,139.406
1563536466.897421,121.0,242.928,243.948,-27638.348,14489.597,32854.812,0.866,59.911,7.78,-14467.625,722.4,-13781.698,6255.072,1748.688,6478.312,15774.75,1894.406,15252.991,0.918,-0.974,0.902,70.376,0.415,139.852
1563536470.9003222,121.0,242.879,242.893,-27500.531,13177.97,34174.93,0.825,59.8,7.686,-14536.125,841.989,-13785.434,6254.849,420.781,6476.717,15836.875,2985.399,15268.889,0.918,-1.006,0.902,70.398,0.388,139.641
1563536474.908667,121.0,242.845,242.857,-27608.16,14430.724,32742.891,0.867,59.776,8.248,-14580.875,720.377,-13781.61,6820.385,1184.375,6463.031,16020.375,1398.699,15176.645,0.92,-0.959,0.903,70.352,0.251,139.617
1563536478.9141176,121.5,242.874,242.884,-27449.529,14842.543,33107.688,0.866,59.844,8.811,-14563.625,780.156,-13785.012,6336.075,1972.828,6487.938,15831.25,2124.889,15212.246,0.916,-0.944,0.905,70.348,0.369,140.672
1563536482.9189804,121.5,242.949,243.958,-27421.969,12922.507,33547.312,0.828,59.913,7.281,-14568.75,780.366,-13723.716,6302.442,120.252,6449.056,15860.875,2518.972,15206.723,0.92,-1.003,0.902,70.352,0.235,140.539
1563536486.92606,121.5,243.02,243.028,-27287.492,13360.64,31781.328,0.867,59.971,9.062,-14487.375,773.895,-13638.158,6211.669,627.375,6494.812,15751.625,994.153,15094.012,0.921,-0.966,0.904,70.138,0.171,140.211
1563536490.9342809,121.5,243.054,243.056,-26166.609,14345.21,31514.906,0.857,59.798,19.498,-14521.188,722.162,-12378.418,6208.738,1642.609,6464.312,15797.875,1787.986,14014.8,0.918,-0.959,0.884,70.233,0.314,139.023
1563536494.936376,121.5,243.078,243.069,-25885.848,12899.228,33474.398,0.791,59.946,19.124,-14588.125,960.738,-12323.133,6270.423,180.84,6477.175,15810.625,3654.227,13896.172,0.921,-1.006,0.883,70.419,0.218,140.203
1563536498.946597,121.5,243.099,243.082,-26144.92,11684.899,31164.719,0.857,59.832,20.873,-14560.875,721.13,-12377.015,6276.643,-1118.375,6471.312,15869.375,1325.339,14009.079,0.919,-0.934,0.887,70.408,0.227,140.523
1563536502.9494443,121.5,243.112,243.09,-26199.832,14511.572,31696.125,0.858,59.765,20.248,-14552.125,720.534,-12375.133,6292.022,1708.5,6527.5,15820.375,1859.883,13965.486,0.921,-0.946,0.885,70.365,0.296,140.422
1563536507.0077283,121.5,243.113,243.086,-26190.348,12886.399,30464.73,0.831,59.847,18.248,-14513.375,722.223,-12375.211,6221.341,150.961,6473.671,15766.625,798.548,13954.504,0.919,-1.003,0.883,70.39,0.28,139.555
1563536510.961533,121.5,243.092,243.063,-26225.117,11861.736,30888.078,0.857,59.855,19.123,-14526.312,720.449,-12377.703,6266.949,-864.508,6489.188,15782.25,1130.1,13953.056,0.921,-0.953,0.884,70.427,0.293,139.656
1563536514.9635482,121.5,243.11,243.08,-26234.906,14343.729,31574.438,0.853,59.991,18.374,-14419.125,723.969,-12376.332,6256.737,1633.641,6495.375,15801.625,1785.348,14012.209,0.92,-0.985,0.885,70.333,0.289,140.531
1563536519.0116997,121.5,243.119,243.089,-26104.156,13171.533,30619.695,0.852,59.965,18.749,-14440.25,759.995,-12405.318,6223.241,409.238,6514.562,15745.75,860.23,13992.801,0.92,-0.967,0.885,70.374,0.275,140.656
1563536522.977686,121.5,243.05,243.019,-26134.932,13442.137,30737.422,0.856,59.851,19.124,-14449.188,723.619,-12376.425,6253.946,684.977,6508.688,15782.625,992.382,14004.805,0.92,-0.938,0.886,70.283,0.523,139.586
1563536526.9840703,121.5,242.001,243.97,-26150.648,14548.114,31619.531,0.853,59.954,18.999,-14514.375,721.297,-12377.514,6290.538,1715.484,6529.062,15751.125,1861.741,13968.552,0.921,-0.957,0.886,70.235,0.271,139.281
1563536530.987545,121.5,242.976,243.945,-25994.975,12858.303,30714.152,0.821,60.111,17.876,-14476.062,749.373,-12411.924,6279.194,60.189,6513.871,15761.375,863.198,13996.345,0.919,-1.002,0.883,70.306,0.279,139.047
1563536534.996479,121.5,242.958,243.925,-26335.537,11826.142,31045.875,0.857,60.245,21.376,-14678.25,723.884,-12314.102,6203.888,-866.57,6489.5,15971.125,1132.174,13889.366,0.921,-0.973,0.885,70.351,0.301,139.617
1563536538.997126,121.5,242.957,243.92,-26483.959,14422.699,31916.688,0.857,60.17,22.875,-14796.375,782.353,-12380.713,6218.77,1685.266,6519.125,16087.0,1857.671,13969.828,0.924,-0.934,0.884,70.293,0.215,139.562
1563536543.004665,121.5,242.951,243.91,-26490.104,12983.781,31095.166,0.816,60.146,21.251,-14886.125,781.792,-12379.375,6288.297,180.621,6508.635,16166.625,929.535,13968.238,0.924,-1.002,0.883,70.29,0.32,139.602
1563536547.0089717,121.5,242.921,243.878,-26616.744,11876.412,31120.953,0.859,60.225,22.626,-14856.5,661.794,-12373.835,6272.741,-912.531,6477.688,16171.875,1122.31,14015.584,0.918,-0.957,0.884,70.289,0.242,139.719
1563536551.0165458,121.5,242.892,242.847,-26591.883,14410.995,31879.812,0.856,59.92,22.875,-14859.375,723.223,-12312.527,6297.978,1635.094,6495.375,16159.375,1789.34,13948.451,0.925,-0.945,0.885,70.352,0.345,139.875
1563536555.0199966,121.0,242.793,242.748,-26441.562,12914.252,30995.68,0.81,59.977,21.499,-14943.625,780.092,-12315.885,6264.388,180.713,6412.87,16189.25,930.942,13904.844,0.923,-1.004,0.883,70.433,0.207,139.523
1563536559.0263336,121.0,242.744,242.698,-26551.043,13417.81,31068.375,0.862,60.046,22.877,-14885.375,663.745,-12310.576,6230.553,743.688,6462.0,16145.875,994.015,13941.084,0.923,-0.954,0.884,70.454,0.28,139.109
1563536563.0476437,121.0,242.739,242.689,-26551.707,12899.564,30806.258,0.862,60.055,22.879,-14956.25,688.492,-12343.312,6233.357,233.551,6454.125,16159.625,730.418,13918.091,0.924,-0.954,0.884,70.392,0.315,139.945
1563536567.0364997,121.0,242.742,242.692,-26413.959,12912.924,30856.094,0.856,60.009,23.63,-14954.125,772.028,-12323.672,6227.814,186.668,6447.5,16168.375,798.075,13893.952,0.923,-0.904,0.887,70.385,0.175,139.859
1563536571.039007,121.0,242.748,242.697,-26567.318,11819.238,31165.438,0.863,60.056,22.63,-14872.75,662.655,-12376.291,6208.755,-914.555,6479.25,16184.375,1129.582,13953.678,0.922,-0.97,0.885,70.334,0.269,139.938
1563536575.0460138,121.5,242.777,242.727,-26526.551,10502.829,32393.094,0.857,60.229,23.13,-14957.0,720.998,-12315.235,6279.692,-2243.844,6437.781,16255.5,2352.745,13904.47,0.922,-0.95,0.884,70.34,0.285,139.672
1563536579.0548747,121.5,242.826,242.775,-26400.451,12909.566,31050.605,0.814,60.161,21.756,-14896.375,783.976,-12318.352,6260.705,150.957,6475.674,16160.625,931.03,13907.777,0.924,-1.004,0.883,70.254,0.267,139.844
1563536583.0617912,121.5,242.859,242.809,-26528.84,13508.336,31185.062,0.857,60.218,23.507,-14929.375,720.109,-12314.256,6284.284,777.0,6487.25,16171.25,1062.76,13934.576,0.92,-0.956,0.884,70.259,0.284,139.828
1563536587.0654528,121.5,242.88,242.829,-26613.279,10758.922,32242.75,0.856,60.16,23.632,-14925.375,721.368,-12314.312,6276.799,-1924.344,6458.25,16221.125,2051.072,13861.161,0.922,-0.949,0.885,70.33,0.261,139.734
1563536591.06878,121.5,242.9,243.848,-26476.336,12866.998,30980.439,0.808,60.024,22.007,-14874.0,843.945,-12319.59,6280.426,120.34,6450.051,16168.375,995.561,13944.461,0.922,-1.005,0.883,70.321,0.388,139.758
