timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563505206.6015472,59.996,12434.695,141.086
1563505210.5970573,59.971,12446.54,141.531
1563505214.560633,60.159,12426.287,141.172
1563505218.564792,60.123,12434.495,141.5
1563505222.55469,60.111,12465.917,141.312
1563505226.5713117,60.192,12448.219,141.391
1563505230.5973063,60.222,12466.588,141.75
1563505234.628689,60.159,12415.188,141.188
1563505238.599469,60.209,12423.378,141.391
1563505242.619124,60.075,12465.819,141.078
1563505246.7408402,60.206,12467.424,141.219
1563505250.6175282,60.24,12401.834,141.492
1563505254.6156514,60.12,12380.681,141.477
1563505258.634244,60.161,8718.961,141.25
1563505262.6929407,60.242,8711.846,141.828
1563505266.6833222,60.078,8711.936,142.508
1563505270.6551416,60.013,8715.655,142.688
1563505274.6283014,60.097,8812.994,142.422
1563505278.6474974,60.02,8775.289,142.805
1563505282.6404521,60.232,8741.917,142.039
1563505286.662338,60.142,8724.656,142.672
1563505290.6365108,60.008,8713.504,142.398
1563505294.7084928,60.023,8814.93,142.156
1563505298.6866524,60.215,8821.074,142.453
1563505302.7635095,60.138,8811.687,142.391
1563505306.7873173,60.206,8815.203,142.062
1563505310.6847954,60.012,8789.229,142.109
1563505314.7000508,60.155,8777.142,142.641
1563505318.6985805,60.042,8776.744,142.156
1563505322.7184355,60.085,8770.84,142.438
1563505326.7216244,60.166,8715.922,142.32
1563505330.708947,60.188,8748.39,142.016
1563505334.726613,60.047,8808.139,142.094
1563505338.7357187,60.116,8778.437,142.344
1563505342.7724361,60.069,8809.987,142.664
1563505346.784763,60.086,8776.1,142.898
1563505350.763735,60.202,8774.935,142.148
1563505354.7696705,60.169,8810.613,142.492
1563505358.7676919,60.009,8806.597,142.266
1563505362.872876,60.074,8775.275,142.484
1563505366.7680073,60.201,8813.552,142.781
1563505370.7958264,60.098,8804.504,142.047
1563505374.7834346,60.207,8807.873,142.805
1563505378.7944925,60.173,8742.497,142.883
1563505382.784552,59.91,8827.721,142.812
1563505386.8097186,59.864,8708.283,142.266
1563505390.81103,59.785,8727.67,142.117
1563505394.8273542,59.768,8743.432,142.836
1563505398.867384,59.987,8706.007,142.68
1563505402.818752,59.801,8726.039,142.109
1563505406.8269434,59.853,8705.443,142.523
1563505410.8332124,59.964,8706.062,142.961
1563505414.8538973,59.976,8705.25,142.57
1563505418.8693407,59.862,8769.071,142.039
1563505423.007933,59.97,8734.572,142.469
1563505426.878874,59.887,8742.039,142.922
1563505430.8652806,59.848,8741.021,142.367
1563505434.8676386,59.884,8704.615,142.062
1563505438.8728259,59.811,8640.913,142.656
1563505442.915177,59.775,8988.352,142.852
1563505446.9094074,59.777,8959.16,142.891
1563505450.9304802,59.798,8925.764,142.688
1563505454.8969965,59.765,8989.437,142.641
1563505458.9301407,59.815,8966.211,142.32
1563505462.9256687,59.984,8981.391,142.148
1563505466.923832,59.958,8965.367,142.141
1563505470.9340012,59.989,8963.094,142.961
1563505474.9470832,59.861,8963.136,142.875
1563505478.955252,59.771,9011.244,142.148
1563505483.145975,59.965,9018.729,142.484
1563505487.028591,59.793,8990.718,142.398
1563505490.9613545,59.835,9009.553,142.25
1563505494.954998,60.035,8962.595,142.352
1563505498.9753122,60.209,8908.012,142.859
1563505503.0072818,60.051,8928.887,142.641
1563505506.9834597,60.055,8901.649,142.609
1563505510.9841108,60.156,8920.955,142.062
1563505515.0220158,60.177,8984.744,142.07
1563505519.003776,60.153,9019.496,142.555
1563505523.0695777,60.043,8910.854,142.477
1563505527.0173478,59.901,8918.768,142.906
1563505531.0507567,59.894,8909.672,142.648
1563505535.038062,59.94,8947.431,142.211
1563505539.0538998,59.922,8958.057,142.211
1563505543.2825534,59.879,8943.355,142.602
1563505547.094785,59.861,8918.219,142.812
1563505551.065586,59.846,8853.898,142.578
1563505555.0899386,59.972,8835.646,142.0
1563505559.0886507,59.911,8947.331,142.789
1563505563.1152759,60.0,8906.125,142.016
