timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563559204.489989,119.5,240.541,239.416,-43797.809,-11689.875,108822.5,0.405,60.027,274.139,-41715.0,26590.154,-28896.678,-9509.936,16739.125,-18882.25,42599.0,31479.283,34393.945,0.976,-0.846,0.839,69.684,0.557,138.812
1563559208.526283,119.5,240.539,239.411,-44026.027,-11748.447,108723.0,0.405,60.002,274.141,-41617.5,26598.615,-28899.916,-9556.234,16726.75,-18896.625,42871.25,31365.971,34414.719,0.975,-0.846,0.839,69.615,0.737,138.336
1563559212.495047,119.5,240.557,239.43,-44030.914,-11736.137,108928.0,0.403,60.194,274.148,-41545.0,26572.139,-28896.197,-9620.234,16657.5,-18901.625,42617.75,31471.469,34413.551,0.975,-0.845,0.839,69.583,0.687,138.383
1563559216.493865,119.5,240.594,239.464,-44024.547,-11798.075,108853.5,0.403,60.188,274.159,-41660.0,26582.693,-28901.889,-9672.402,16642.625,-18913.5,42893.75,31360.121,34436.102,0.975,-0.845,0.839,69.556,0.675,138.852
1563559220.49688,119.5,240.616,239.483,-43994.547,-11720.951,108608.0,0.402,60.143,274.183,-41631.25,26584.625,-28787.064,-9650.812,16641.25,-18904.125,42559.0,31482.721,34448.477,0.974,-0.845,0.839,69.551,0.667,138.852
1563559224.502802,119.5,240.649,239.514,-43727.516,-11770.219,108663.0,0.403,60.079,274.21,-41635.0,26696.656,-28688.35,-9651.955,16671.25,-18939.75,42614.0,31468.871,34535.734,0.974,-0.845,0.839,69.557,0.71,138.398
1563559228.7233474,119.5,240.674,239.54,-43715.438,-11695.617,108965.0,0.403,60.013,274.224,-41642.5,26694.539,-28724.773,-9651.082,16642.5,-18932.875,42576.5,31593.186,34334.18,0.974,-0.845,0.839,69.56,0.691,138.695
1563559232.7270632,119.5,240.693,239.56,-43710.668,-11683.373,108872.5,0.402,60.004,274.228,-41481.25,26660.275,-28714.492,-9655.718,16666.875,-18943.5,42550.25,31561.176,34328.008,0.974,-0.845,0.839,69.577,0.683,138.672
1563559236.820984,119.5,240.72,239.589,-43699.828,-11698.732,108068.0,0.404,60.056,274.242,-41651.25,26549.094,-28797.98,-9583.361,16868.5,-18829.25,42559.0,31446.504,34523.301,0.974,-0.846,0.838,69.584,0.75,138.227
1563559241.005129,119.5,240.741,239.614,-44172.258,-12864.623,109564.0,0.404,60.04,282.262,-41479.75,26559.789,-28966.969,-9492.94,16713.5,-20214.125,42657.75,31448.238,35119.73,0.976,-0.846,0.822,69.536,0.679,138.312
1563559245.0917933,119.5,240.709,239.609,-47564.801,-11688.176,111964.5,0.424,60.194,254.129,-41685.5,26497.637,-32565.514,-9449.472,16877.625,-18995.375,42704.25,31382.551,37769.5,0.974,-0.846,0.864,69.513,0.632,138.812
1563559249.0132706,119.5,240.665,239.594,-47528.668,-11703.955,112047.0,0.426,60.044,255.125,-41622.0,26380.898,-32624.154,-9435.086,16822.0,-19115.875,42509.5,31390.434,37644.594,0.974,-0.846,0.86,70.443,0.695,138.609
1563559253.0211048,119.5,240.643,239.586,-47783.555,-11724.744,111837.5,0.426,60.122,256.228,-41635.25,26427.74,-32609.258,-9486.379,16818.375,-18992.25,42725.5,31315.006,37879.594,0.974,-0.846,0.86,69.941,0.647,138.68
