timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563508806.4850454,123.5,247.734,247.722,-14098.73,10939.684,19126.863,0.737,60.165,9.879,-8057.719,766.933,-6871.914,5187.206,215.393,5479.812,9583.25,799.134,8777.897,0.837,-0.955,0.781,71.806,0.406,142.195
1563508810.4900694,123.5,247.742,247.73,-14148.784,10900.99,19186.648,0.741,60.072,11.379,-8065.625,749.587,-6847.129,5112.183,322.281,5534.188,9569.875,816.755,8810.971,0.845,-0.92,0.778,71.603,0.339,142.695
1563508814.5123034,123.5,247.744,247.729,-14204.132,10900.607,19129.227,0.74,60.012,12.442,-8073.812,755.046,-6816.208,4940.265,456.73,5510.812,9489.0,876.339,8827.08,0.852,-0.842,0.777,71.524,0.312,142.219
1563508818.520945,123.5,247.743,247.727,-14144.847,10800.293,19199.953,0.74,60.213,11.817,-8107.062,748.542,-6847.507,5019.894,263.838,5520.125,9527.125,799.655,8777.732,0.85,-0.956,0.781,71.565,0.327,142.25
1563508822.5116942,123.5,247.733,247.718,-14208.798,10823.331,19308.957,0.739,60.075,12.255,-8132.25,748.612,-6846.916,5074.301,255.862,5524.285,9590.5,843.435,8780.52,0.849,-0.891,0.777,71.995,0.337,142.75
1563508826.526322,123.5,247.723,247.708,-14221.2,11053.331,19293.766,0.737,60.206,12.379,-8141.375,751.146,-6878.319,5091.952,389.697,5543.625,9630.5,845.559,8803.679,0.847,-0.886,0.774,71.961,0.452,142.25
1563508830.5151012,123.5,247.713,247.698,-14214.384,10917.457,19293.418,0.739,60.089,11.693,-8167.25,749.079,-6846.161,5132.598,262.0,5551.344,9615.5,798.541,8774.939,0.845,-0.956,0.777,71.87,0.317,142.109
1563508834.5283742,123.5,247.698,247.683,-14223.292,10951.713,19286.766,0.736,60.229,12.067,-8148.562,766.474,-6838.912,5138.784,287.113,5543.125,9654.25,818.026,8809.862,0.846,-0.936,0.777,71.772,0.298,142.773
1563508838.5258827,123.5,247.684,247.669,-14165.684,11043.807,19251.461,0.735,60.14,12.318,-8116.375,748.049,-6847.679,5075.374,389.432,5545.188,9596.5,845.346,8806.745,0.851,-0.883,0.774,71.64,0.232,142.141
1563508842.5259519,123.5,247.676,247.661,-14081.689,10876.832,19192.383,0.737,60.239,11.068,-8123.875,765.811,-6807.826,5101.325,215.707,5544.125,9564.625,799.146,8777.768,0.844,-0.954,0.777,71.723,0.306,142.977
1563508846.6201696,123.5,247.687,247.672,-14124.106,10866.408,19164.668,0.736,60.21,11.506,-8123.938,757.287,-6767.891,5118.097,245.346,5508.688,9564.25,798.543,8714.295,0.846,-0.936,0.777,71.787,0.319,142.844
1563508850.5415351,123.5,247.705,247.689,-14103.268,11010.521,19087.719,0.736,60.034,12.569,-8087.0,749.266,-6783.748,5064.362,423.275,5528.25,9559.875,860.084,8752.446,0.845,-0.862,0.775,71.678,0.362,142.875
1563508854.5501816,123.5,247.733,247.718,-14086.109,10819.818,18950.613,0.741,60.033,11.756,-8072.688,753.295,-6752.213,5065.483,262.289,5488.906,9519.25,799.573,8715.314,0.844,-0.956,0.777,71.74,0.314,142.281
1563508858.5652363,123.5,247.75,247.735,-14167.805,10826.871,19181.523,0.74,60.038,11.819,-8124.875,756.92,-6799.746,5113.482,245.131,5508.375,9594.875,798.158,8777.986,0.844,-0.964,0.775,71.843,0.298,142.328
1563508862.5602996,123.5,247.761,247.747,-14222.463,11101.651,19327.172,0.738,60.102,12.382,-8123.75,750.513,-6879.633,5113.505,457.404,5573.875,9537.5,879.44,8889.732,0.845,-0.819,0.775,71.835,0.353,142.758
1563508866.566086,123.5,247.77,247.757,-14228.177,10974.309,19235.496,0.74,60.122,10.82,-8110.938,750.648,-6879.178,5113.02,263.922,5583.969,9560.0,799.773,8841.04,0.845,-0.931,0.775,71.883,0.354,142.852
1563508870.5803614,123.5,247.79,247.775,-14084.236,10728.854,19190.365,0.737,60.186,10.633,-8108.5,797.059,-6793.146,5117.523,120.114,5523.7,9591.125,798.32,8786.291,0.844,-1.005,0.773,71.884,0.296,142.523
1563508874.5892594,123.5,247.8,247.785,-14177.427,11029.877,19272.945,0.735,60.103,12.508,-8124.438,752.435,-6816.065,5090.403,422.105,5528.562,9590.5,861.869,8817.164,0.844,-0.862,0.775,71.92,0.274,142.109
1563508878.5972786,123.5,247.773,247.757,-14149.048,10864.564,19115.996,0.741,60.06,11.257,-8088.688,750.188,-6879.549,5071.005,185.838,5583.938,9539.375,772.689,8871.786,0.844,-0.956,0.777,71.884,0.302,142.75
1563508882.6100607,123.5,247.756,247.74,-14135.101,10997.758,19172.711,0.738,60.022,11.507,-8066.625,759.336,-6800.267,5169.099,294.891,5514.688,9594.875,815.961,8724.645,0.844,-0.912,0.775,71.693,0.257,142.328
1563508886.6171975,123.5,247.751,247.735,-14058.65,10815.805,19013.5,0.742,60.005,10.882,-8066.0,768.207,-6813.02,5057.777,187.838,5535.987,9495.875,783.852,8761.131,0.846,-0.995,0.776,71.749,0.236,142.055
1563508890.6193707,123.5,247.757,247.741,-14039.859,10736.833,19031.258,0.741,60.084,10.694,-8032.188,758.779,-6767.471,5072.537,150.525,5516.093,9480.875,778.914,8767.789,0.845,-0.998,0.775,71.807,0.386,142.609
1563508894.6229148,123.5,247.769,247.752,-14023.799,10918.191,19118.836,0.735,60.108,12.194,-8046.375,771.872,-6768.029,5097.221,308.301,5493.688,9594.5,828.042,8733.143,0.845,-0.911,0.775,71.801,0.317,142.562
1563508898.631103,123.5,247.781,247.765,-14017.375,11064.912,19147.211,0.736,60.042,12.881,-8052.188,751.123,-6783.784,5071.903,457.666,5510.188,9477.125,879.386,8762.039,0.845,-0.818,0.775,71.804,0.355,142.219
1563508902.6540227,123.5,247.796,247.778,-14057.398,10707.782,19016.945,0.735,60.247,11.756,-8056.625,759.347,-6735.284,5070.915,184.467,5445.125,9530.75,779.093,8703.41,0.846,-0.955,0.777,71.808,0.335,142.883
1563508906.6434982,123.5,247.802,247.784,-14043.799,10775.002,18946.211,0.74,60.033,12.755,-8090.062,769.487,-6734.891,4908.968,351.705,5494.188,9420.875,847.141,8676.22,0.854,-0.906,0.777,71.801,0.333,142.945
1563508910.6534884,123.5,247.816,247.797,-14049.146,10909.024,19191.648,0.735,60.074,12.568,-8063.125,766.687,-6775.797,5030.501,395.518,5497.688,9519.875,862.056,8751.843,0.844,-0.863,0.775,71.827,0.353,142.828
1563508914.6551101,123.5,247.835,247.817,-14061.745,10787.46,18977.051,0.741,60.007,11.443,-8054.438,761.292,-6767.761,5043.092,208.524,5525.812,9502.125,789.219,8736.474,0.846,-0.959,0.776,71.836,0.27,142.961
1563508918.6608024,123.5,247.85,247.831,-14074.593,10786.341,19115.734,0.735,60.061,11.068,-8059.875,799.45,-6786.759,5059.083,164.794,5514.75,9520.25,815.486,8721.981,0.847,-0.982,0.777,71.848,0.466,142.742
1563508922.6877892,123.5,247.854,247.836,-14085.87,11022.604,19145.688,0.737,60.029,12.192,-8043.562,750.157,-6814.805,5101.202,422.369,5527.0,9519.0,863.356,8750.274,0.847,-0.861,0.775,71.811,0.286,142.75
1563508926.676035,123.5,247.85,247.834,-14096.065,10758.857,19043.711,0.741,60.073,11.379,-8058.625,756.053,-6799.994,5052.436,245.29,5508.375,9510.875,796.443,8778.418,0.848,-0.953,0.777,71.848,0.349,142.688
1563508930.683786,123.5,247.86,247.845,-14042.167,10794.735,19063.809,0.737,60.161,11.754,-8003.062,769.498,-6832.061,4992.758,261.535,5529.469,9467.5,814.808,8787.659,0.844,-0.913,0.775,71.887,0.339,142.25
1563508934.6916595,123.5,247.886,247.871,-14036.397,10922.494,19026.891,0.738,60.115,11.818,-8010.75,753.091,-6784.044,5041.768,351.889,5519.625,9432.5,831.886,8734.002,0.847,-0.885,0.774,71.932,0.351,142.414
1563508938.6961675,123.5,247.915,247.901,-14041.617,10879.111,18964.617,0.741,60.125,11.381,-8009.438,753.117,-6816.184,5030.199,262.053,5552.438,9412.875,798.922,8779.105,0.845,-0.932,0.775,71.981,0.369,142.344
1563508942.6991696,124.0,247.941,247.926,-13986.09,10747.734,19045.842,0.737,60.088,9.943,-8027.938,801.071,-6809.339,5014.331,180.953,5519.445,9471.875,802.823,8818.679,0.844,-1.005,0.773,71.817,0.292,142.734
1563508946.7060819,124.0,247.968,247.954,-14032.773,10997.422,19141.07,0.735,60.074,12.131,-8037.125,752.358,-6784.184,5026.58,423.664,5528.562,9472.75,861.151,8753.445,0.846,-0.862,0.775,71.943,0.271,142.555
1563508950.7103488,123.5,247.985,247.975,-14272.191,10929.361,19245.0,0.741,60.181,7.628,-7991.875,759.415,-7088.232,5100.067,245.341,5541.0,9516.875,796.679,8970.987,0.839,-0.957,0.789,71.724,0.191,142.047
1563508954.7168252,123.5,247.976,247.97,-14328.861,10823.031,19303.039,0.739,60.166,8.507,-7988.5,768.811,-7089.034,5026.675,308.316,5526.312,9458.125,829.242,8991.283,0.845,-0.931,0.785,71.786,0.265,142.68
1563508958.7269783,123.5,247.958,247.954,-14323.674,-172.141,19304.0,0.739,60.123,9.007,-7982.031,756.582,-7055.688,5018.335,352.871,-5532.0,9465.0,836.375,8967.13,0.845,-0.861,0.787,71.759,0.265,142.258
1563508962.79116,123.5,247.945,247.943,-14325.487,10836.695,19097.734,0.746,60.187,8.632,-7976.531,744.667,-7056.076,5017.369,279.135,5562.375,9414.125,796.549,8971.238,0.845,-0.932,0.787,71.79,0.18,142.5
1563508966.7370393,123.5,247.74,247.737,-14258.167,10805.424,19110.598,0.745,60.087,8.882,-7974.625,768.972,-7056.843,4975.753,261.465,5529.781,9388.5,815.792,8981.27,0.848,-0.934,0.788,71.802,0.391,142.391
1563508970.740332,123.5,247.556,247.553,-14257.992,10740.928,19114.887,0.744,60.168,8.507,-7996.781,757.552,-7024.811,5022.609,184.587,5513.188,9428.75,780.944,8898.865,0.847,-0.957,0.789,71.866,0.37,142.477
1563508974.7462826,123.5,247.431,247.426,-14194.9,10769.863,18996.211,0.746,60.067,10.194,-7957.5,746.865,-6960.533,4965.011,279.66,5530.688,9359.75,799.003,8844.213,0.846,-0.933,0.783,71.751,0.391,142.578
1563508978.7525725,123.5,247.333,247.328,-14092.145,10810.914,19116.301,0.739,60.106,10.068,-7981.0,768.97,-6929.375,5013.327,260.266,5530.406,9432.5,812.218,8854.455,0.845,-0.957,0.783,71.651,0.385,142.922
1563508982.7548678,123.5,247.258,247.251,-14088.233,10918.618,19137.664,0.735,60.192,11.005,-7990.688,756.278,-6896.22,4986.418,413.436,5514.812,9370.375,863.48,8881.246,0.848,-0.84,0.781,71.554,0.313,142.078
