timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563520483.3667774,123.0,246.181,246.161,-13658.276,10654.08,18463.414,0.734,60.107,17.502,-7904.0,736.676,-6469.427,4889.351,509.342,5245.812,9336.75,893.038,8382.635,0.849,-0.701,0.776,71.496,0.192,141.75
1563520487.3710802,123.0,246.174,246.154,-13598.209,10246.748,18381.672,0.737,60.177,11.125,-7866.188,791.512,-6525.347,4834.321,180.553,5260.735,9217.5,789.663,8378.693,0.85,-1.007,0.777,71.006,0.204,141.031
1563520491.3794627,123.0,246.172,246.151,-13668.036,10455.371,18464.367,0.735,60.161,15.688,-7876.875,750.37,-6525.59,4884.11,322.375,5276.938,9228.75,819.549,8359.58,0.851,-0.886,0.777,71.054,0.208,141.531
1563520495.3864658,123.0,246.178,246.158,-13671.318,10601.816,18498.094,0.733,60.199,16.376,-7913.25,736.681,-6500.836,4868.971,449.332,5263.75,9301.5,861.034,8362.414,0.85,-0.78,0.781,71.031,0.316,141.633
1563520499.390892,123.0,246.186,246.164,-13607.832,10273.488,18422.262,0.738,60.192,11.563,-7883.875,790.611,-6524.555,4868.168,180.109,5260.191,9222.5,791.57,8377.109,0.85,-1.006,0.777,71.096,0.196,141.539
1563520503.398249,123.0,246.192,246.17,-13738.486,10374.42,18502.367,0.74,60.029,14.876,-7960.0,748.989,-6524.24,4878.035,263.273,5261.938,9295.875,798.836,8322.865,0.851,-0.922,0.774,71.499,0.234,141.328
1563520507.4011,123.0,246.196,246.177,-13981.748,10660.212,18770.781,0.742,60.073,13.627,-7955.625,737.133,-6756.817,4891.748,480.883,5281.25,9334.375,878.695,8627.775,0.85,-0.726,0.787,71.322,0.226,141.414
1563520511.4132004,123.0,246.202,246.187,-14007.486,10488.02,18780.543,0.744,60.205,14.252,-7974.812,737.881,-6757.446,4969.653,238.225,5256.688,9393.625,775.642,8548.076,0.851,-0.942,0.788,71.484,0.304,141.961
1563520515.4155302,123.0,246.211,246.196,-14005.805,10444.25,18694.957,0.742,60.108,12.753,-7939.562,747.025,-6733.724,4925.768,278.758,5240.656,9407.625,796.482,8518.238,0.85,-0.921,0.785,71.422,0.172,141.172
1563520519.4212244,123.0,246.219,246.204,-13998.658,10569.115,18785.773,0.741,60.081,15.003,-7985.188,748.938,-6750.438,4945.415,422.154,5270.688,9358.0,862.029,8557.39,0.85,-0.78,0.789,71.49,0.194,141.023
1563520523.4197152,123.0,246.238,246.223,-13994.782,10388.881,18653.414,0.75,60.01,12.877,-7997.562,736.547,-6726.535,4913.325,238.774,5257.625,9359.25,773.543,8550.313,0.854,-0.942,0.788,71.385,0.255,141.242
1563520527.4250588,123.0,246.251,246.238,-13920.602,10412.704,18630.758,0.746,60.11,13.815,-7964.938,759.79,-6734.832,4900.239,245.491,5219.125,9405.125,796.925,8520.038,0.849,-0.921,0.785,71.362,0.306,141.422
1563520531.4333432,123.0,246.264,246.251,-13974.49,10628.807,18751.406,0.741,60.069,15.815,-7982.625,737.782,-6694.708,4951.389,480.76,5219.75,9382.625,878.705,8504.241,0.852,-0.725,0.787,71.387,0.269,141.695
1563520535.4380105,123.0,246.281,246.268,-13973.562,10373.85,18731.082,0.743,60.21,13.753,-7980.5,750.364,-6751.362,4930.854,185.736,5263.312,9353.0,775.332,8551.347,0.849,-0.944,0.788,71.311,0.31,141.07
1563520539.4423594,123.0,246.319,246.305,-13914.275,10354.389,18678.797,0.746,60.213,13.94,-7953.125,759.361,-6734.739,4845.344,245.87,5251.75,9300.875,799.047,8519.947,0.853,-0.921,0.785,71.416,0.33,141.0
1563520543.4938176,123.0,246.352,246.339,-13976.676,10629.779,18751.172,0.741,60.077,16.005,-7939.688,739.999,-6727.258,4902.697,481.266,5252.375,9366.125,877.163,8569.506,0.849,-0.726,0.787,71.277,0.346,141.031
