timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563537604.893792,122.0,245.382,244.329,-39227.074,-13297.268,51539.719,0.75,59.931,46.749,-23964.25,4497.101,-19959.844,-7399.657,2467.688,-8325.782,25118.0,5031.741,21581.299,0.954,-1.007,0.922,71.01,0.426,141.008
1563537608.9016995,122.0,245.366,244.311,-39490.133,-12924.316,52191.375,0.764,60.208,54.506,-24178.75,4413.258,-19862.109,-7432.439,2865.125,-8327.125,25294.75,5235.925,21608.811,0.955,-0.874,0.924,71.042,0.442,141.773
1563537612.9073682,122.0,245.34,244.282,-39453.93,-11864.526,52502.5,0.763,60.004,52.764,-24137.25,4384.047,-19863.52,-7393.949,3899.5,-8374.25,25112.375,5879.169,21572.264,0.954,-0.901,0.922,71.036,0.463,141.758
1563537616.9168625,122.0,245.325,244.266,-39665.438,-13251.482,51877.625,0.747,60.094,45.518,-23963.75,4398.387,-19735.641,-7582.573,2618.562,-8351.621,25112.375,5106.084,21591.736,0.953,-1.002,0.918,70.982,0.404,141.398
1563537620.9216588,122.5,245.334,244.274,-39645.48,-13064.79,51773.0,0.764,60.112,53.769,-23954.75,4403.044,-19737.506,-7519.34,2740.125,-8284.5,25212.25,5168.771,21603.385,0.953,-0.873,0.92,71.473,0.485,141.359
1563537624.9247882,122.0,245.339,244.278,-39624.516,-11546.24,52867.25,0.762,60.058,53.02,-24035.0,4345.896,-19757.0,-7515.157,4266.75,-8261.5,25201.625,6071.492,21481.055,0.957,-0.881,0.924,71.057,0.489,141.359
1563537628.9332201,122.0,245.303,244.24,-39602.203,-13707.998,51911.438,0.757,60.007,51.77,-24308.5,4632.521,-19724.486,-7508.257,2044.875,-8299.125,25399.5,5043.962,21457.617,0.956,-0.975,0.925,71.05,0.449,141.953
1563537632.9348118,122.0,245.286,244.221,-39696.859,-12875.588,52155.75,0.765,60.209,55.771,-24358.5,4388.837,-19740.309,-7504.52,2866.406,-8267.5,25402.0,5246.633,21488.215,0.955,-0.878,0.924,71.134,0.391,141.5
1563537636.9409568,122.0,245.292,244.225,-39742.305,-12114.061,52529.75,0.764,60.181,55.523,-24420.25,4385.016,-19741.213,-7482.87,3657.031,-8256.5,25397.0,5721.617,21428.039,0.956,-0.874,0.923,71.093,0.509,141.156
1563537640.9548035,122.5,245.32,244.251,-39589.957,-13834.171,51779.75,0.758,60.013,52.024,-24220.5,4669.91,-19759.193,-7479.211,1956.984,-8262.5,25467.625,5046.78,21460.221,0.956,-0.976,0.923,71.026,0.44,141.664
