timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563552004.2333906,60.124,24248.965,139.516
1563552008.1261976,60.13,24255.631,139.227
1563552012.3570971,60.086,24265.191,139.703
1563552016.6579034,60.078,24281.33,139.289
1563552020.165431,60.047,24305.469,139.273
1563552024.1416519,60.024,24311.066,139.719
1563552028.3824403,60.246,24208.643,139.531
1563552032.2251494,60.227,24233.58,139.203
1563552036.144855,60.178,24243.699,139.289
1563552040.2893393,60.166,24262.102,139.453
1563552044.4869676,60.123,24270.404,139.539
1563552048.3551853,60.046,24263.566,139.367
1563552052.1939118,60.175,24423.086,139.227
1563552056.1615214,60.166,24435.643,139.125
1563552060.1986778,60.162,24325.152,139.57
1563552064.1707106,60.183,24331.148,139.195
1563552068.1864955,60.185,24331.762,139.719
1563552072.2228475,60.203,24430.66,139.273
1563552076.2183828,60.238,24420.613,139.977
1563552080.1935062,60.228,24415.428,139.438
1563552084.2153873,60.225,24403.357,139.43
1563552088.2660336,60.239,24250.617,139.172
1563552092.2104285,60.183,24253.09,139.961
1563552096.300314,60.143,24275.744,139.281
1563552100.2341847,60.081,24303.979,139.938
1563552104.3187037,60.05,24206.174,139.977
1563552108.2481754,60.091,24197.756,139.422
1563552112.2255054,60.128,24299.781,139.562
1563552116.2442904,60.17,24285.062,139.055
1563552120.2415323,60.08,24306.105,139.922
1563552124.2426162,60.059,24319.918,139.586
1563552128.4353511,60.246,24199.566,139.375
1563552132.2454548,60.246,24200.959,139.773
1563552136.252953,60.089,24305.205,139.297
1563552140.2691123,60.199,24136.77,139.055
1563552144.4911647,60.138,24119.367,139.242
1563552148.2699897,60.152,24121.277,139.102
1563552152.426375,60.201,24119.816,139.852
1563552156.4038153,60.014,24082.438,139.82
1563552160.2923954,60.037,24182.488,139.555
1563552164.6594105,60.026,24168.891,139.312
1563552168.307494,60.076,24146.451,139.906
1563552172.296374,60.077,24164.709,139.336
1563552176.40314,60.109,24172.137,139.586
1563552180.3057299,60.09,24069.182,139.008
1563552184.5543406,60.029,24116.287,139.773
1563552188.3665547,60.003,24285.363,139.266
1563552192.319177,60.18,24202.76,139.633
1563552196.316419,60.204,24210.719,139.453
1563552200.3310704,60.234,24316.742,139.031
1563552204.323874,60.222,24172.18,139.219
1563552208.3382149,60.142,24086.402,139.023
