timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563501607.1686122,122.0,245.06,244.049,-13884.832,-6375.867,40114.5,0.314,60.155,116.559,-13870.75,9103.734,-9146.259,-5469.129,8213.25,-9185.625,14861.312,12314.409,12941.062,0.939,-0.774,0.661,70.7,0.363,140.562
1563501611.1728306,122.0,244.957,244.95,-13191.178,-7000.029,40075.5,0.326,60.068,106.567,-13786.75,9709.614,-9123.549,-5298.997,7486.0,-9207.5,14799.188,12231.571,12955.031,0.93,-0.797,0.707,70.76,0.381,140.719
1563501615.176499,122.0,244.908,244.898,-13460.633,-7024.373,39878.5,0.338,60.201,109.072,-13830.75,9408.702,-9142.174,-5451.109,7601.5,-9163.375,14861.0,12110.974,12897.891,0.933,-0.784,0.704,70.811,0.346,140.57
1563501619.1834662,122.0,244.875,244.863,-13547.002,-6854.995,39615.0,0.342,60.12,106.579,-13737.75,9189.042,-9000.241,-5352.595,7604.062,-9099.375,14729.5,11927.491,12752.555,0.932,-0.771,0.7,70.907,0.412,140.633
1563501623.1859791,122.0,244.838,244.822,-13427.036,-6829.031,39772.0,0.336,60.014,107.08,-13794.0,9367.351,-9003.722,-5367.217,7634.812,-9134.125,14799.75,12101.84,12807.052,0.93,-0.767,0.706,70.527,0.402,140.219
1563501627.1956306,122.0,244.779,244.763,-13393.814,-6896.17,39780.0,0.336,60.22,105.076,-13817.5,9444.348,-9039.436,-5349.714,7564.25,-9142.125,14811.312,12047.586,12861.08,0.932,-0.78,0.705,70.658,0.396,140.789
1563501631.1970286,122.0,244.742,244.726,-13490.301,-6951.905,39750.5,0.337,60.179,107.075,-13804.625,9465.863,-9048.609,-5399.278,7579.438,-9150.25,14828.5,12148.812,12870.738,0.93,-0.779,0.703,70.742,0.4,140.672
1563501635.2035553,122.0,244.721,244.705,-13448.228,-6669.352,40165.5,0.334,60.143,106.579,-13866.375,9415.489,-9063.402,-5373.309,7815.875,-9095.125,14840.375,12270.803,12898.555,0.931,-0.76,0.704,70.66,0.432,140.531
1563501639.2059257,122.0,244.716,244.7,-13466.582,-6906.265,39862.5,0.339,60.145,107.578,-13848.375,9436.729,-9063.844,-5375.823,7615.938,-9137.5,14895.625,12107.292,12898.694,0.931,-0.776,0.705,71.211,0.414,140.57
1563501643.228925,122.0,244.718,244.702,-13478.562,-6946.833,39890.5,0.337,60.165,105.076,-13860.25,9486.188,-9103.336,-5347.407,7533.812,-9108.0,14838.5,12151.194,12880.449,0.932,-0.784,0.706,70.773,0.39,140.43
1563501647.2165236,122.0,244.71,244.694,-13431.615,-6809.642,40151.5,0.332,60.218,106.072,-13783.875,9522.553,-9117.649,-5359.189,7743.0,-9183.625,14795.75,12259.595,12887.512,0.934,-0.764,0.707,71.342,0.44,140.336
1563501651.224533,122.0,244.689,244.672,-13448.578,-6997.418,39704.5,0.339,60.088,105.072,-13768.125,9448.137,-9115.729,-5359.214,7572.375,-9153.0,14799.188,12054.046,12982.115,0.93,-0.78,0.706,70.768,0.418,140.422
1563501655.239153,122.0,244.678,244.662,-13510.523,-6912.709,39824.0,0.341,60.025,107.072,-13806.5,9389.945,-9147.537,-5383.505,7584.562,-9109.375,14844.125,12063.87,12919.441,0.932,-0.776,0.706,71.297,0.414,140.094
1563501659.237796,122.0,244.681,244.665,-13558.62,-6791.067,39705.5,0.339,60.171,107.571,-13854.0,9350.663,-9067.66,-5401.565,7717.562,-9099.0,14819.125,12152.74,12920.781,0.93,-0.756,0.704,70.744,0.326,140.234
1563501663.2397654,122.0,244.695,244.68,-13479.145,-6603.041,39957.5,0.334,60.226,106.572,-13796.125,9467.341,-9032.122,-5361.432,7890.5,-9120.25,14816.312,12263.342,12859.592,0.933,-0.756,0.706,70.719,0.494,140.523
1563501667.2496567,122.0,244.708,244.694,-13463.438,-6830.526,39899.5,0.338,60.141,107.074,-13807.125,9390.473,-9065.816,-5356.199,7590.938,-9142.5,14799.75,12055.177,12851.999,0.932,-0.772,0.706,70.778,0.392,140.281
1563501671.2570357,122.0,244.715,244.701,-13386.27,-6890.282,39750.0,0.336,60.094,106.076,-13820.125,9444.457,-9055.135,-5351.621,7556.438,-9125.875,14807.25,12108.926,12804.199,0.932,-0.78,0.704,70.706,0.441,140.734
1563501675.2625985,122.0,244.713,244.7,-13381.457,-6882.923,39887.5,0.336,60.157,107.076,-13805.25,9445.417,-9062.773,-5347.602,7553.312,-9111.5,14820.375,12108.678,12805.659,0.932,-0.784,0.704,70.555,0.412,140.188
1563501679.271499,122.0,244.713,244.699,-13465.528,-6852.435,39901.0,0.337,60.2,106.574,-13804.25,9448.655,-9047.935,-5340.075,7612.938,-9138.125,14839.75,12110.076,12886.475,0.931,-0.78,0.703,70.75,0.424,140.328
1563501683.2693524,122.0,244.743,244.729,-13477.603,-6841.276,39819.5,0.339,60.085,105.072,-13810.0,9465.818,-9102.779,-5347.756,7651.812,-9095.125,14833.188,12128.577,12906.225,0.931,-0.776,0.706,70.802,0.434,140.125
1563501687.2791526,122.0,244.771,244.758,-13491.301,-6779.594,40085.0,0.336,60.227,104.573,-13882.375,9410.529,-9115.263,-5351.96,7770.0,-9178.375,14789.812,12208.768,12918.599,0.933,-0.772,0.706,70.742,0.404,140.961
