timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563512404.1504846,60.195,8727.099,141.883
1563512408.136208,60.073,8745.652,141.805
1563512412.161179,60.071,8682.716,141.18
1563512416.1592317,60.197,8688.834,141.508
1563512420.1542013,60.121,8679.427,141.586
1563512424.1590075,60.19,8682.852,141.727
1563512428.1789863,60.182,8687.14,141.039
1563512432.1845703,60.156,8580.361,141.406
1563512436.2006462,60.077,8659.374,141.555
1563512440.2045028,60.216,8696.339,141.492
1563512444.4451816,60.102,8698.841,141.094
1563512448.2249744,60.1,9414.406,141.453
1563512452.2535264,59.895,9496.08,141.953
1563512456.2263606,59.855,9473.614,140.938
1563512460.2305539,59.915,9530.736,141.273
1563512464.2405527,59.986,9420.406,141.078
1563512468.2462313,59.943,9315.643,141.008
1563512472.2488701,59.802,9336.491,140.227
1563512476.2542667,59.957,9289.631,141.906
1563512480.2976515,59.873,9328.234,141.703
1563512484.2693744,59.892,9327.045,140.07
1563512488.2649155,59.92,9301.55,140.82
1563512492.2823336,59.913,9311.662,141.125
1563512496.322286,59.941,9391.222,141.312
1563512500.300274,59.83,9301.21,140.07
1563512504.6126778,59.888,9347.436,140.828
1563512508.303494,59.767,9366.367,140.852
1563512512.3065574,59.873,9357.195,140.367
1563512516.2992473,59.797,9383.358,140.68
1563512520.3784008,59.854,9380.906,140.875
1563512524.5571837,59.879,9392.801,140.078
1563512528.3745453,59.884,9392.729,141.32
1563512532.338317,59.871,9317.546,140.484
1563512536.3454356,60.228,9283.553,140.734
1563512540.5267005,60.025,9340.042,140.211
1563512544.3337178,60.207,9340.938,140.656
1563512548.5006158,60.101,9341.095,140.812
1563512552.468398,60.087,9307.449,140.555
1563512556.4527316,60.071,9310.238,140.711
1563512560.374126,60.248,9262.688,140.578
1563512564.6168187,60.022,9309.926,140.023
1563512568.519205,60.007,9306.71,140.945
1563512572.5659635,60.055,9326.396,141.211
1563512576.4995425,60.134,9332.834,141.969
1563512580.5491617,60.187,9331.326,141.0
1563512584.4883,60.019,9332.579,141.219
1563512588.4339697,60.109,8500.147,141.086
1563512592.4247444,60.152,8477.707,140.102
1563512596.5627,60.205,8453.764,141.836
1563512600.5484262,60.238,8477.993,141.898
1563512604.630831,60.186,8500.287,141.508
