timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563541207.8745806,121.5,244.109,243.046,-34267.066,16083.232,38571.891,0.887,60.107,29.757,-18711.5,373.168,-15731.966,8823.829,188.026,7143.125,20660.25,419.609,17302.854,0.902,-0.91,0.911,70.564,0.432,140.602
1563541211.880526,121.5,244.105,243.041,-33856.426,16109.0,38300.812,0.889,60.079,28.758,-18626.25,375.181,-15686.268,8798.63,185.178,7158.5,20488.5,417.876,17263.566,0.906,-0.893,0.911,70.578,0.268,140.359
1563541215.8841336,121.5,244.096,243.033,-33868.531,16105.269,38381.203,0.889,60.033,29.132,-18678.5,377.42,-15708.142,8771.061,184.686,7121.625,20699.5,418.31,17256.977,0.905,-0.896,0.91,70.517,0.454,140.141
1563541219.890023,121.5,244.067,243.004,-33864.656,16167.511,38228.875,0.889,60.026,29.382,-18677.5,371.439,-15649.814,8885.024,185.11,7119.0,20690.75,414.507,17204.988,0.904,-0.892,0.911,70.542,0.528,140.773
1563541223.8934333,121.5,244.075,243.011,-33844.109,16160.356,38233.094,0.888,60.037,29.507,-18635.75,371.334,-15639.779,8862.785,186.149,7120.75,20680.75,414.43,17217.396,0.904,-0.904,0.914,70.525,0.43,140.164
1563541227.896781,121.5,244.09,243.025,-33811.488,16091.383,38205.188,0.888,60.025,29.633,-18591.5,379.076,-15618.562,8802.779,172.588,7095.5,20595.75,415.956,17258.891,0.903,-0.904,0.914,70.554,0.456,140.508
1563541231.9009604,122.0,244.116,243.05,-33792.285,16017.535,38390.289,0.887,60.011,29.508,-18589.5,378.446,-15617.535,8803.633,175.427,7072.312,20557.0,417.318,17189.885,0.903,-0.888,0.911,70.514,0.472,140.867
1563541235.9070098,122.0,244.138,243.074,-33796.516,16075.41,38268.625,0.887,60.007,29.383,-18561.25,374.028,-15641.748,8802.625,192.549,7093.0,20589.5,420.992,17242.75,0.903,-0.888,0.907,70.996,0.485,140.469
1563541239.9138978,121.5,244.104,243.041,-34039.43,16068.186,37995.711,0.89,60.02,29.257,-18507.5,369.851,-15661.541,8779.719,189.603,7093.688,20570.75,414.855,17233.443,0.903,-0.9,0.912,70.543,0.418,140.562
1563541243.9203997,121.5,243.048,243.985,-33794.961,16072.382,38030.281,0.891,60.023,29.13,-18508.0,373.898,-15633.646,8796.599,192.446,7106.25,20507.75,418.831,17225.486,0.903,-0.904,0.912,70.552,0.393,140.211
1563541247.9233968,121.5,243.997,243.934,-33793.895,16076.265,38342.883,0.887,60.029,29.129,-18628.5,372.109,-15628.197,8798.494,194.495,7135.062,20540.25,421.042,17173.418,0.904,-0.9,0.912,70.594,0.376,140.641
1563541251.9248383,121.5,243.008,243.944,-34042.293,16151.532,38154.695,0.888,60.005,29.378,-18675.0,373.086,-15642.03,8845.464,196.018,7091.562,20723.75,420.149,17246.803,0.903,-0.895,0.914,70.578,0.28,140.656
1563541255.9275153,121.5,243.037,243.972,-33793.699,16142.873,38161.805,0.883,60.243,28.502,-18606.0,372.263,-15645.314,8799.577,182.949,7128.438,20547.75,415.377,17234.93,0.904,-0.895,0.912,70.577,0.301,140.383
1563541259.9355805,121.5,243.046,243.982,-34036.5,16149.21,38201.922,0.888,60.006,29.502,-18647.0,372.816,-15620.168,8852.719,184.232,7105.375,20510.25,415.998,17225.891,0.903,-0.911,0.91,70.549,0.313,140.562
1563541263.9425242,121.5,243.047,243.983,-33813.391,16162.988,38289.734,0.885,60.242,29.626,-18621.5,372.817,-15723.256,8844.988,187.477,7131.875,20648.25,416.104,17277.201,0.905,-0.887,0.913,70.523,0.343,140.148
1563541267.941166,121.5,243.047,243.984,-33837.793,16074.263,38357.023,0.883,60.231,28.125,-18538.25,373.499,-15677.575,8831.035,189.705,7128.188,20521.5,418.581,17236.271,0.904,-0.906,0.912,70.54,0.401,140.164
1563541271.9505947,121.5,243.045,243.982,-33832.262,16076.843,38382.297,0.887,60.009,28.625,-18472.5,375.748,-15672.503,8891.259,186.066,7084.375,20595.75,418.962,17244.861,0.904,-0.891,0.911,70.591,0.383,140.328
1563541275.9489985,121.5,243.037,243.973,-33850.145,16148.577,38213.328,0.884,59.984,28.874,-18572.5,376.213,-15654.688,8893.91,172.389,7120.625,20527.75,415.519,17202.428,0.904,-0.902,0.914,70.544,0.419,140.82
1563541279.9626496,121.5,244.065,243.0,-33823.059,16145.241,38251.297,0.888,59.765,29.749,-18565.25,376.66,-15651.883,8851.829,190.638,7076.375,20687.5,422.031,17173.891,0.903,-0.903,0.913,70.562,0.46,140.109
1563541283.971403,121.5,244.073,243.007,-34037.043,16084.225,38385.969,0.888,59.754,29.874,-18626.0,375.092,-15668.494,8834.656,192.291,7091.75,20645.0,422.271,17033.211,0.906,-0.888,0.911,70.566,0.423,140.945
1563541287.9732528,121.5,243.036,243.97,-38908.273,-13029.551,50499.625,0.887,59.765,29.875,-23531.25,3587.512,-18847.76,-8575.037,3441.766,-7954.438,24844.25,4989.875,20548.113,0.904,-0.899,0.911,70.569,0.429,140.367
1563541291.9865785,121.5,243.916,243.848,-35612.105,4535.627,47676.25,0.751,60.158,154.012,-22108.375,3996.792,-17624.027,8824.841,2748.609,-7065.812,23839.25,4832.852,19013.404,0.928,-0.815,0.932,70.51,0.487,140.07
1563541295.9916308,121.5,243.894,243.823,-35385.598,4243.502,47824.0,0.743,60.23,156.023,-21904.375,4156.632,-17576.133,8745.759,2685.844,-7173.375,23744.25,4896.518,19068.881,0.928,-0.839,0.927,70.583,0.362,140.883
1563541299.9950645,121.5,243.889,243.818,-35153.152,4191.24,47610.0,0.746,60.018,156.035,-21918.75,4196.37,-17604.828,8748.826,2672.25,-7177.75,23642.5,4964.944,19057.205,0.929,-0.843,0.929,70.502,0.413,140.18
1563541304.0359085,121.5,243.956,243.886,-35123.816,4126.411,47549.5,0.742,60.245,156.047,-21966.875,4203.692,-17609.824,8667.486,2677.234,-7212.875,23630.75,4967.688,19064.82,0.932,-0.84,0.926,70.915,0.433,140.461
1563541308.0115292,121.5,243.007,243.937,-35086.215,4153.959,47558.5,0.744,60.036,155.052,-22012.375,4161.794,-17618.98,8654.619,2692.609,-7174.5,23539.5,4990.25,18992.225,0.931,-0.84,0.925,70.951,0.443,140.57
1563541312.0164018,121.5,243.064,243.994,-35311.875,4155.469,47532.25,0.744,60.09,156.059,-21903.125,4129.226,-17661.25,8651.083,2681.062,-7221.312,23461.5,4959.363,19029.578,0.931,-0.84,0.922,70.9,0.403,140.664
1563541316.0173786,121.5,244.078,243.009,-35557.273,4160.745,47366.25,0.744,60.136,156.071,-21940.625,4135.861,-17574.648,8648.09,2683.797,-7212.562,23570.75,4934.551,18947.354,0.931,-0.84,0.923,70.914,0.444,140.086
1563541320.0214877,121.5,243.059,243.989,-35566.789,4162.707,47368.75,0.744,60.144,156.08,-21900.625,4129.715,-17539.939,8727.888,2659.922,-7225.188,23660.75,4899.83,19025.131,0.928,-0.843,0.923,70.944,0.462,140.695
1563541324.0331652,121.5,243.069,243.999,-35078.113,4191.716,47486.25,0.744,60.138,156.087,-21836.375,4159.93,-17538.879,8719.364,2681.234,-7237.688,23584.0,4900.128,19037.844,0.927,-0.843,0.922,70.866,0.48,140.695
1563541328.0310235,121.5,244.086,243.017,-35107.441,4124.07,47597.0,0.743,60.121,156.089,-21886.375,4108.571,-17586.805,8669.488,2671.781,-7250.0,23466.0,4910.655,18949.152,0.928,-0.843,0.923,70.834,0.428,140.727
1563541332.0422227,121.5,244.082,243.013,-35325.445,4159.104,47614.75,0.743,60.187,156.08,-21793.25,4124.208,-17536.047,8708.006,2658.438,-7205.812,23475.25,4894.163,19021.434,0.927,-0.839,0.926,70.918,0.452,140.922
1563541336.042738,121.5,243.041,243.972,-35552.121,4163.045,47468.75,0.743,60.242,156.065,-21824.5,4079.15,-17559.623,8705.055,2661.406,-7226.438,23637.0,4865.212,18946.711,0.926,-0.839,0.924,70.888,0.468,140.203
1563541340.0469306,121.5,243.808,243.729,-33109.855,8518.242,66417.0,0.498,60.19,244.06,-27360.75,13024.814,-18713.658,8786.084,9690.375,-9983.5,28759.5,16210.877,21216.84,0.952,-0.799,0.882,70.952,0.634,139.102
1563541344.056688,121.5,243.629,243.541,-33201.461,8553.023,66786.5,0.497,60.181,245.045,-27448.25,13222.462,-18850.99,8820.333,9782.5,-10098.125,28824.625,16434.986,21420.383,0.951,-0.804,0.886,70.517,0.407,140.266
1563541348.0617213,121.5,243.566,243.473,-33243.23,8569.863,66816.5,0.497,60.132,245.032,-27571.25,13251.131,-18953.688,8787.019,9842.125,-10074.125,28888.375,16488.262,21485.391,0.953,-0.804,0.886,70.519,0.413,140.398
1563541352.0670135,121.5,243.52,243.427,-33074.484,8505.979,67498.0,0.494,60.194,246.019,-27538.25,13326.399,-19045.906,8831.033,9829.312,-10139.062,28822.25,16633.824,21574.66,0.952,-0.808,0.884,70.558,0.377,140.711
1563541356.0717523,121.5,243.488,243.394,-33179.633,8503.342,67318.0,0.494,60.107,247.005,-27637.75,13557.641,-19136.781,8873.237,9794.375,-10217.125,28953.5,16717.355,21722.961,0.951,-0.812,0.883,70.508,0.399,139.555
1563541360.0812716,121.5,243.43,243.336,-33245.879,8421.609,67415.0,0.492,59.851,247.994,-27644.0,13683.74,-19238.746,8769.165,9853.688,-10195.562,29004.75,16840.311,21675.564,0.953,-0.812,0.886,70.507,0.363,139.945
1563541364.1684854,121.5,243.342,242.247,-33063.828,8423.662,67797.0,0.489,59.982,247.981,-27606.5,13759.123,-19275.18,8802.997,9847.75,-10189.0,29012.25,16860.27,21866.566,0.951,-0.816,0.884,70.585,0.412,139.852
1563541368.0872436,121.5,243.31,242.216,-33027.75,8423.527,67624.5,0.489,59.867,249.966,-27686.0,13778.584,-19269.893,8813.943,9839.0,-10266.438,28936.75,17022.637,21796.221,0.952,-0.816,0.885,70.549,0.42,139.586
1563541372.0902095,121.0,243.274,242.18,-33040.598,8428.112,68037.0,0.49,59.76,249.948,-27747.25,13878.842,-19270.729,8883.064,9844.375,-10260.5,29088.5,16984.871,21845.375,0.952,-0.816,0.886,70.034,0.351,139.5
1563541376.0945687,121.0,243.237,242.142,-33103.953,8424.555,67887.0,0.488,59.905,249.931,-27764.75,13935.561,-19364.047,8906.561,9794.438,-10259.562,29152.25,16975.273,22010.928,0.95,-0.819,0.883,70.017,0.342,139.539
1563541380.0989726,121.0,243.146,242.052,-33182.207,8365.588,67859.0,0.488,59.926,250.922,-27695.5,13936.373,-19389.836,8858.263,9766.0,-10294.5,29172.25,16968.086,22004.805,0.951,-0.82,0.885,70.033,0.42,139.984
1563541384.1028867,121.0,242.084,242.991,-33217.102,8363.956,68303.5,0.486,59.881,249.918,-27771.0,14014.327,-19336.508,8859.712,9766.938,-10267.0,29136.0,17123.037,21891.609,0.951,-0.82,0.886,70.081,0.393,139.836
1563541388.1032743,121.0,243.131,242.036,-33270.148,8373.14,68348.5,0.487,59.836,250.925,-27838.5,13962.286,-19399.957,8881.981,9770.062,-10365.375,29071.75,17146.713,21937.318,0.952,-0.82,0.886,70.061,0.457,139.484
1563541392.1110668,121.5,243.18,242.086,-33065.195,8310.79,68550.5,0.487,59.796,250.931,-27812.25,13964.15,-19578.359,8832.019,9756.312,-10366.625,29124.25,17146.129,22086.568,0.95,-0.82,0.886,70.034,0.33,140.719
1563541396.1161118,121.0,243.2,242.107,-33088.891,8370.68,68153.5,0.485,59.946,250.936,-27881.0,14051.24,-19439.309,8893.947,9803.125,-10309.812,29203.5,17056.918,22138.746,0.949,-0.824,0.883,70.587,0.63,139.469
1563541400.123458,121.0,243.131,242.037,-33395.844,8321.28,68333.5,0.486,59.945,250.941,-28027.75,14092.162,-19530.566,8841.04,9764.125,-10288.562,29294.0,17270.51,22035.971,0.95,-0.824,0.885,70.16,0.371,139.758
1563541404.1267238,121.0,242.07,242.976,-33164.117,8300.753,68425.5,0.486,59.847,250.941,-27856.0,14124.079,-19565.15,8776.716,9790.625,-10279.812,29306.5,17197.996,22045.32,0.954,-0.82,0.885,70.645,0.606,139.0
1563541408.130594,121.0,242.998,242.906,-33189.41,8272.284,68423.0,0.483,59.977,250.944,-27688.0,14201.743,-19459.051,8839.587,9728.188,-10264.812,29152.25,17230.492,22045.684,0.949,-0.824,0.886,70.174,0.496,139.523
1563541412.13901,121.0,242.013,242.926,-33179.836,8279.176,68163.0,0.485,59.771,250.938,-27806.0,14085.325,-19569.74,8773.463,9728.438,-10295.438,29151.0,17233.275,22056.123,0.953,-0.821,0.885,70.17,0.467,139.961
1563541416.1448436,121.0,243.093,242.013,-33174.633,8282.735,68198.0,0.485,59.752,250.929,-27799.75,14084.495,-19562.316,8715.555,9833.625,-10267.375,29168.5,17224.891,22073.395,0.954,-0.821,0.884,70.661,0.461,139.953
1563541420.1466959,121.0,243.149,242.067,-33192.395,8299.896,68113.0,0.486,59.795,250.915,-27866.0,14190.903,-19486.73,8720.57,9850.188,-10322.312,29204.75,17182.775,22089.875,0.954,-0.821,0.884,70.633,0.578,139.086
1563541424.172809,121.0,243.094,242.007,-33225.848,8313.837,68275.5,0.486,59.854,250.908,-28015.25,14147.881,-19498.734,8794.477,9758.125,-10292.938,29305.25,17233.527,22078.061,0.955,-0.821,0.885,70.691,0.471,139.008
1563541428.1571085,121.0,242.933,242.836,-32300.143,-8269.729,90943.5,0.356,59.772,248.904,-33799.0,23275.881,-21624.316,-8990.006,16788.625,-16174.625,35307.5,28721.475,26959.414,0.967,-0.81,0.798,70.372,0.321,139.961
1563541432.1647801,121.0,242.859,242.755,-32290.084,-8263.631,91440.5,0.353,59.911,250.907,-34233.0,23620.27,-21658.104,-8912.412,16984.625,-16274.25,35449.0,28931.156,27108.133,0.968,-0.811,0.801,70.315,0.5,139.891
1563541436.1706643,121.0,242.872,242.763,-32181.236,-8295.484,91440.5,0.352,59.943,249.904,-34116.5,23442.613,-21521.641,-8989.691,16984.125,-16301.438,35155.5,29019.215,27029.227,0.965,-0.811,0.798,70.163,0.427,139.57
1563541440.1729624,121.0,242.909,242.796,-32245.023,-8181.72,90644.0,0.355,59.802,248.89,-33951.5,23417.555,-21395.188,-8955.48,16949.0,-16235.875,35194.0,28856.621,26925.102,0.966,-0.807,0.8,70.151,0.49,139.945
1563541444.1773257,121.0,242.906,242.79,-32156.496,-8303.728,91328.0,0.352,59.953,250.891,-34070.5,23458.969,-21538.4,-8989.959,16972.25,-16295.5,35075.5,29034.275,26907.973,0.969,-0.811,0.798,70.209,0.558,139.172
1563541448.183423,121.0,242.835,242.718,-32160.547,-8295.364,91555.5,0.352,59.962,249.901,-34181.5,23434.066,-21539.598,-9007.097,16932.875,-16202.438,35291.5,28879.699,27130.873,0.965,-0.811,0.799,70.29,0.415,139.758
1563541452.1864126,120.5,242.639,242.522,-32176.656,-8292.561,91118.5,0.353,59.986,249.915,-34141.5,23429.592,-21547.764,-9012.85,16781.125,-16230.812,35091.5,28873.848,26967.902,0.969,-0.811,0.801,70.438,0.489,139.797
1563541456.197462,121.0,242.7,242.585,-32159.303,-8311.602,91255.5,0.352,59.954,250.912,-34155.5,23485.682,-21584.031,-8993.937,16917.875,-16207.75,35470.0,28928.646,26916.971,0.968,-0.811,0.8,70.29,0.531,139.82
1563541460.2076645,121.0,242.746,242.629,-32163.68,-8276.381,91158.0,0.352,59.869,249.919,-34196.5,23448.025,-21597.59,-8939.151,16965.25,-16277.062,35113.0,29015.133,27062.293,0.966,-0.811,0.8,70.233,0.527,139.188
1563541464.2094643,121.0,242.785,242.668,-32170.039,-8169.064,91251.0,0.352,59.85,249.926,-34199.0,23436.941,-21606.875,-8888.624,16966.375,-16286.125,35073.0,28996.359,27080.465,0.966,-0.811,0.8,70.76,0.617,139.109
1563541468.2162116,121.0,242.861,242.744,-32178.543,-8238.712,91355.0,0.352,59.889,250.931,-34118.0,23464.477,-21615.041,-8957.755,16961.5,-16301.125,35155.5,29030.807,27104.484,0.967,-0.811,0.799,70.273,0.527,139.156
1563541472.2159696,121.0,242.887,242.769,-32318.949,-8286.979,91328.0,0.353,59.985,249.936,-34274.0,23497.111,-21733.916,-8968.826,16932.25,-16295.188,35409.0,28940.605,27090.207,0.967,-0.811,0.799,70.811,0.543,139.047
1563541476.221966,121.0,242.895,242.775,-48029.684,-11812.8,107539.5,0.354,59.78,255.937,-42114.0,23471.375,-29530.678,-8455.562,16913.125,-20276.125,42844.0,29012.057,35699.695,0.967,-0.811,0.799,70.3,0.734,139.57
1563541480.2307882,121.0,242.806,242.688,-42899.551,-11165.457,102692.0,0.419,59.785,259.858,-39581.25,23631.621,-26988.32,-9825.453,16970.75,-18427.375,40821.0,29096.703,32601.68,0.972,-0.811,0.827,70.267,0.605,139.891
1563541484.342788,121.0,242.761,242.643,-42955.531,-10977.779,102480.5,0.418,59.796,259.858,-39553.75,23631.518,-27004.113,-9714.098,17067.875,-18182.0,40948.25,29079.438,32620.855,0.971,-0.811,0.827,70.445,0.632,139.75
1563541488.239517,120.5,242.704,241.586,-43249.121,-10944.812,102548.0,0.419,59.889,257.841,-39634.75,23793.781,-27021.859,-9686.772,16993.0,-18303.125,40898.25,29115.883,32759.174,0.969,-0.811,0.832,70.595,0.637,139.625
1563541492.2459226,120.5,242.63,241.512,-43130.867,-10904.453,102670.0,0.419,59.967,257.824,-39864.5,23684.504,-27030.129,-9719.467,16949.25,-18296.25,40830.75,29131.465,32761.938,0.97,-0.811,0.832,70.712,0.648,139.961
1563541496.24711,120.5,242.582,241.452,-44899.852,-11109.886,104514.5,0.43,59.784,267.813,-41682.75,23715.076,-27050.385,-9853.887,17000.125,-18266.875,42590.25,29154.277,32761.283,0.974,-0.813,0.829,70.247,0.75,139.719
1563541500.2477374,120.5,242.58,241.435,-44906.418,-10988.864,104753.5,0.43,59.758,269.81,-41484.25,23718.473,-27180.514,-9737.514,17146.125,-18180.125,42586.5,29279.252,32658.953,0.975,-0.813,0.828,70.221,0.598,139.414
1563541504.2495546,121.0,242.619,241.466,-43125.113,-11449.559,103411.0,0.418,59.868,254.905,-39721.0,23739.742,-27187.629,-10193.189,17105.75,-18183.25,41145.5,29248.98,32666.408,0.968,-0.814,0.828,70.704,0.638,139.547
