timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563486121.1053393,123.0,246.648,246.589,-23707.773,5409.143,52121.5,0.455,59.818,196.977,-20683.75,11154.099,-14269.086,6606.73,7656.625,-8784.5,21755.375,13524.856,16760.643,0.953,-0.828,0.849,71.299,0.353,141.391
1563486125.1103106,123.0,246.621,246.561,-23560.959,5618.523,52068.0,0.453,59.967,197.972,-20525.25,11198.173,-14268.158,6756.953,7648.5,-8830.125,21734.125,13593.299,16656.934,0.952,-0.822,0.851,71.792,0.397,141.812
1563486129.1100621,123.0,246.62,246.56,-23438.1,5529.577,51797.5,0.454,59.807,198.967,-20611.5,11202.167,-14083.778,6770.875,7591.375,-8856.5,21649.875,13534.161,16704.328,0.95,-0.825,0.847,71.465,0.318,141.906
1563486133.120923,123.0,246.617,246.557,-23445.678,5527.204,51922.5,0.453,59.968,198.96,-20656.5,11201.584,-14087.305,6768.477,7592.625,-8891.5,21656.125,13533.786,16729.725,0.95,-0.825,0.847,71.946,0.397,141.984
1563486137.1263103,123.0,246.608,246.547,-23447.59,5422.784,51740.5,0.453,59.953,198.958,-20700.25,11286.688,-14098.743,6736.25,7524.688,-8863.25,21665.5,13548.266,16767.799,0.95,-0.825,0.846,71.466,0.373,141.562
1563486141.1285746,123.0,246.569,246.511,-26633.572,6953.795,54191.5,0.464,59.802,197.96,-20733.25,11246.698,-17215.943,6890.439,7622.25,-7525.562,21847.5,13596.354,18699.41,0.948,-0.827,0.858,71.155,0.359,141.672
1563486145.1367939,123.0,246.53,246.491,-26354.596,5312.678,54779.5,0.483,59.82,189.958,-20684.75,11428.803,-16927.113,6802.166,7475.75,-8917.125,21821.75,13638.018,19075.58,0.952,-0.836,0.89,71.085,0.371,141.367
1563486149.1383805,123.0,246.516,246.486,-23459.408,5237.854,52197.5,0.451,59.838,200.951,-20611.75,11286.74,-14095.331,6780.633,7447.312,-9021.375,21682.625,13556.189,16672.555,0.953,-0.833,0.846,71.006,0.467,141.18
1563486153.1413174,123.0,246.517,246.477,-23444.451,5402.216,51914.0,0.454,59.782,198.943,-20687.75,11216.089,-14093.76,6731.222,7525.938,-8867.625,21693.0,13542.223,16655.613,0.95,-0.829,0.845,71.315,0.346,141.758
1563486157.1459663,123.0,246.534,246.485,-22289.371,5501.847,52745.0,0.453,59.918,198.935,-20727.75,12390.08,-14111.992,6725.61,7590.562,-8859.0,21669.875,14587.234,16641.576,0.949,-0.829,0.847,71.841,0.451,141.289
1563486161.1520412,123.0,246.549,246.494,-23438.336,5420.953,51730.5,0.453,59.948,198.927,-20714.0,11292.188,-14097.621,6694.528,7548.25,-8862.0,21649.875,13552.194,16637.107,0.953,-0.825,0.847,71.886,0.508,141.57
1563486165.7630098,123.0,246.563,246.505,-23433.193,5656.084,51741.0,0.455,59.777,200.925,-20638.0,11221.255,-14092.082,6784.955,7680.375,-8868.25,21661.75,13620.203,16576.891,0.953,-0.821,0.846,71.917,0.44,141.953
1563486169.161609,123.0,246.572,246.512,-22276.143,3452.995,53263.0,0.451,59.93,198.924,-21224.75,12914.142,-14140.535,4928.104,7333.75,-8778.25,21875.875,14861.152,16535.826,0.952,-0.829,0.847,71.413,0.353,141.586
1563486173.168146,123.0,246.617,246.554,-23039.314,4826.351,51724.5,0.453,59.905,199.919,-20633.5,11738.601,-14025.231,6782.718,6874.125,-8880.375,21665.5,13624.304,16550.531,0.953,-0.824,0.846,71.379,0.381,142.281
