timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563501607.7095573,60.151,12935.383,140.672
1563501611.696138,60.195,12965.938,140.656
1563501615.6667967,60.04,12917.92,140.312
1563501619.5925765,60.116,12751.594,140.555
1563501623.7015631,60.201,12812.715,140.531
1563501627.6261365,60.228,12859.689,140.25
1563501631.6386557,60.013,12867.391,140.898
1563501635.6322057,60.156,12869.742,140.258
1563501639.611624,60.1,12894.119,140.438
1563501643.9512308,60.165,12913.633,140.43
1563501647.6225982,60.035,12905.816,140.867
1563501651.7837498,60.088,12872.973,140.422
1563501655.7342546,60.175,12921.717,140.328
1563501659.6609232,60.148,12887.525,140.07
1563501663.6513395,60.175,12857.032,140.312
1563501667.7647448,60.147,12801.391,140.43
1563501671.7107496,60.157,12809.782,140.523
1563501675.6851277,60.106,12822.094,140.922
1563501679.673468,60.249,12879.971,140.43
1563501683.8359156,60.085,12908.432,140.125
1563501687.815638,60.227,12904.209,140.961
1563501691.8327734,60.152,12826.047,140.156
1563501695.7843225,60.085,12665.692,140.094
1563501699.8593676,60.189,12556.347,140.453
1563501704.1204822,60.231,12569.052,140.836
1563501707.8442726,60.214,12658.326,140.938
1563501711.7819808,60.019,12627.174,140.273
1563501715.717943,60.09,12620.147,140.438
1563501719.9022915,60.204,12650.575,140.758
1563501723.7988493,60.022,12659.13,140.5
1563501727.9351542,60.099,12621.487,140.305
1563501731.7491877,60.107,12623.045,140.5
1563501735.9522586,60.227,12612.366,140.781
1563501739.906306,60.003,12629.788,140.672
1563501743.7638395,60.176,12623.097,141.016
1563501747.9058414,60.2,12581.76,141.844
1563501751.794165,60.015,12652.569,141.016
1563501755.7846956,60.106,12628.007,141.766
1563501759.8912544,60.022,12650.683,141.898
1563501764.1239223,60.027,12633.895,141.367
1563501767.9320817,60.019,12649.594,141.695
1563501771.8114238,60.064,12616.717,141.547
1563501775.924712,60.23,12638.805,141.945
1563501779.9461095,60.05,12638.012,141.539
1563501784.0639417,60.242,12611.465,141.414
1563501788.0708902,60.226,17293.369,140.398
1563501792.0148609,60.059,15600.617,140.25
1563501795.9832568,60.153,15513.852,140.484
1563501799.9638126,60.148,15611.26,140.617
1563501803.9980724,60.072,15593.908,140.117
1563501808.0160575,60.058,15610.644,140.727
1563501812.138123,60.194,15516.591,140.867
1563501816.0750818,60.197,15508.799,140.922
1563501820.0924544,60.026,15525.49,140.352
1563501824.1248813,60.164,15547.187,140.641
1563501828.089717,60.248,15499.896,140.883
1563501832.0214615,60.228,15428.311,140.016
1563501835.9725435,60.019,15424.382,140.945
1563501840.0887287,60.095,15445.708,140.859
1563501844.0666835,60.24,15442.895,140.203
1563501847.9677052,60.166,15441.164,140.188
1563501852.0342064,60.001,15445.21,140.719
1563501856.0350218,60.218,15447.461,140.547
1563501860.038168,60.206,15472.828,140.531
1563501863.986239,60.179,15464.081,140.445
1563501868.000738,60.195,15444.41,140.031
1563501872.1348093,60.079,15464.215,140.367
1563501876.0156577,60.239,15448.026,140.703
1563501879.9686806,60.21,15447.241,140.531
1563501884.1664438,60.06,15526.982,140.477
1563501888.1966426,60.214,15528.798,140.0
1563501892.1380472,60.118,15457.014,140.789
1563501896.0112915,60.142,15452.859,140.875
1563501900.276165,60.214,15481.862,140.891
1563501904.1706748,60.092,15486.455,140.312
1563501908.2454333,60.146,15397.214,140.758
1563501912.2643204,60.178,15432.493,140.688
1563501916.0402474,60.097,15479.966,140.312
1563501920.1348407,60.167,15462.027,140.375
1563501924.1602616,60.213,15430.966,140.891
1563501928.053489,60.248,15441.547,140.5
1563501932.088441,60.12,15449.313,140.961
1563501936.0604138,60.07,15454.227,140.453
1563501940.3453202,60.118,15431.326,140.031
1563501944.2887611,60.12,15432.428,140.5
1563501948.3709238,60.118,15466.661,140.922
1563501952.2696095,60.118,15458.826,140.812
1563501956.2552035,60.02,15462.934,140.656
1563501960.2473793,60.065,15467.449,140.633
1563501964.185739,60.2,15455.47,140.062
1563501968.159099,60.044,15467.689,140.641
1563501972.2721956,60.072,15443.593,140.688
1563501976.1334097,60.121,15462.238,140.914
1563501980.1399944,60.18,15462.668,140.094
1563501984.2247477,60.071,15455.509,140.945
1563501988.3100326,60.184,11047.855,141.742
1563501992.3410885,60.137,10987.129,141.969
1563501996.2388873,60.088,11006.178,140.078
1563502000.434999,60.05,10983.058,141.43
1563502004.2908013,60.206,10984.961,141.523
1563502008.210326,60.062,10994.647,141.773
1563502012.2639203,60.214,10981.946,141.602
1563502016.3081954,60.023,10923.481,141.664
1563502020.1833308,60.192,10882.984,141.477
1563502024.1804023,60.196,10902.801,140.781
1563502028.1980393,59.902,10925.036,140.672
1563502032.202459,59.88,10898.722,141.789
1563502036.2713826,59.946,10921.763,141.383
1563502040.205457,59.924,10921.813,141.25
1563502044.2678921,59.956,10941.468,141.484
1563502048.3107166,60.212,10917.975,141.797
1563502052.2551284,60.08,10922.703,141.688
1563502056.257031,60.211,10941.825,141.133
1563502060.2702317,60.139,10816.763,141.984
1563502064.4670372,60.222,10921.47,141.57
1563502068.2751927,60.121,10943.629,141.281
1563502072.2621465,60.205,10918.883,141.258
1563502076.2853873,60.032,10927.747,141.5
1563502080.2706273,60.244,10877.246,140.156
1563502084.3715386,60.105,10752.123,141.141
1563502088.2765038,60.128,10796.008,141.812
1563502092.3520722,60.102,10811.296,141.281
1563502096.3211856,60.087,10760.299,140.539
1563502100.458322,60.134,10803.952,140.438
1563502104.355312,60.25,10821.962,140.0
1563502108.383428,60.091,10785.539,140.461
1563502112.3056364,60.224,10808.717,141.664
1563502116.3674548,60.178,15844.989,140.992
1563502126.7897415,60.172,13748.528,140.648
1563502127.7570953,60.01,13748.437,140.383
1563502131.7703168,60.127,13765.922,140.898
1563502135.7995753,60.152,13866.898,140.859
1563502139.808759,60.016,13994.904,140.227
1563502143.7832344,60.015,14021.959,140.094
1563502147.7821767,60.036,14024.81,140.812
1563502151.8234031,60.21,14162.514,140.0
1563502155.8389285,60.08,14197.797,140.008
1563502159.8756309,60.229,14219.178,140.719
1563502163.8564928,60.104,14236.919,140.055
1563502167.8198254,60.013,14291.161,140.188
1563502173.9449034,60.089,14353.735,140.344
1563502175.865815,60.126,14391.771,140.5
1563502179.8307638,60.168,14451.943,140.508
1563502184.1222851,60.132,14405.664,140.797
1563502187.9064832,60.197,14522.568,140.969
1563502191.875122,60.114,14464.406,140.93
1563502195.9364,59.994,14521.408,140.109
1563502199.842911,59.919,14518.71,140.273
1563502203.8698304,59.867,14480.111,140.797
1563502207.983855,59.805,14516.75,140.188
1563502211.9042602,59.765,14502.08,140.266
1563502215.877935,59.913,14518.676,140.164
1563502219.8856666,59.772,14552.87,140.594
1563502223.9149687,59.971,14587.664,140.508
1563502227.9482963,60.028,14551.535,140.133
1563502231.9109836,60.197,14625.586,140.117
1563502235.88949,60.196,14593.587,140.766
1563502239.9348693,60.211,14617.693,140.234
1563502244.1319554,60.148,14605.501,140.312
1563502247.923936,60.077,14611.427,140.508
1563502251.9632266,60.148,14648.315,140.359
1563502255.9432912,60.109,14627.242,140.664
1563502259.9495325,60.058,14686.935,140.781
1563502263.9851384,60.035,14701.716,140.141
1563502267.9882598,60.115,11938.195,140.82
1563502271.989054,60.077,11889.188,140.828
1563502275.9768534,60.069,11909.576,140.328
1563502280.001274,60.053,11915.277,140.359
1563502284.0107312,60.078,11943.935,140.297
1563502288.0072005,60.007,11935.927,140.141
1563502292.0607405,60.194,11949.229,140.016
1563502295.9952295,60.005,11883.927,140.922
1563502300.015223,60.06,11936.564,140.211
1563502304.133216,60.153,11918.989,140.055
1563502308.0683043,60.219,11967.471,140.469
1563502312.02242,60.129,11909.105,140.93
1563502316.017108,60.15,11842.081,140.508
1563502320.035782,60.019,12285.952,140.617
1563502324.0551195,60.218,12235.902,140.125
1563502328.075902,60.028,12225.196,140.258
1563502332.0926857,60.205,12239.257,140.391
1563502336.1178427,60.11,12267.92,140.68
1563502340.1159346,60.092,12252.39,140.664
1563502344.1421983,60.125,12244.607,140.031
1563502348.1361063,60.202,12176.277,140.203
1563502352.1138937,59.76,12203.438,140.883
1563502356.1073577,59.81,12244.055,140.273
1563502360.1791763,59.792,12312.508,140.766
1563502364.297017,59.779,12163.911,140.805
1563502368.2220104,59.91,12037.393,140.383
1563502372.213639,59.881,12063.971,140.43
1563502376.1680255,59.932,11972.171,140.273
1563502380.208939,59.919,11982.299,140.086
1563502384.1646514,59.989,11992.585,140.148
1563502388.1843088,59.841,11972.471,140.375
1563502392.1727624,59.949,12012.356,140.008
1563502396.2095659,59.979,11993.64,140.867
1563502400.1689768,59.881,11906.372,140.938
1563502404.2637186,59.899,11983.186,140.719
1563502408.215997,59.79,11986.025,140.047
1563502412.2491663,59.892,12035.279,140.156
1563502416.193865,59.871,12087.566,140.617
1563502420.2462308,59.892,12082.789,140.641
1563502424.4713838,59.997,12032.402,140.148
1563502428.2167764,59.978,12107.17,140.609
1563502432.247379,59.832,12154.707,140.211
1563502436.2779047,59.768,12093.764,140.625
1563502440.2751088,59.899,12042.154,140.258
1563502444.2640066,59.941,12075.289,140.797
1563502448.2848136,59.811,12019.141,140.18
1563502452.2847533,59.978,12027.188,140.922
1563502456.2848349,59.931,12064.256,140.461
1563502460.2827303,59.904,12034.384,140.094
1563502464.2918367,59.754,12040.944,140.797
1563502468.3508453,59.82,12041.334,140.383
1563502472.2711163,59.852,12035.408,140.797
1563502476.349928,59.944,12023.611,141.453
1563502480.363493,59.912,9223.99,141.898
1563502484.636977,59.927,9219.383,141.477
1563502488.3529222,59.798,9271.236,141.195
1563502492.305698,59.851,9171.817,141.641
1563502496.3252969,59.872,9224.986,141.828
1563502500.3739786,59.823,9242.926,141.711
1563502504.355124,59.96,9193.344,141.398
1563502508.3292174,59.883,9190.779,141.109
1563502512.4395041,59.765,9249.357,141.133
1563502516.3853085,59.949,9216.069,141.922
1563502520.3749363,59.971,9235.782,141.508
1563502524.3798394,60.049,9108.594,141.188
1563502529.4354935,60.156,9822.024,141.18
1563502532.407489,60.212,9681.414,141.297
1563502536.4286711,60.222,9699.645,141.602
1563502540.432929,60.23,9608.054,141.211
1563502544.8054986,60.067,9640.006,141.664
1563502548.4725864,60.088,9604.758,141.562
1563502552.3832319,60.234,9605.42,141.578
1563502556.417675,60.056,9656.086,141.18
1563502560.423308,60.107,9719.319,141.602
1563502564.441115,59.91,9604.396,141.461
