timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563494405.1004024,60.038,17431.922,140.664
1563494409.097224,60.217,17558.641,140.938
1563494413.1327536,60.184,17558.297,140.75
1563494417.1187649,60.104,17706.127,140.109
1563494421.1669106,60.164,17690.043,140.938
1563494425.1415832,60.123,17691.258,140.125
1563494429.1392953,60.172,17744.195,140.055
1563494433.144953,60.104,17687.328,140.336
1563494437.2642984,60.06,17692.449,140.352
1563494441.3652513,60.055,17690.078,140.914
1563494445.536236,60.097,17781.047,140.18
1563494449.3352609,60.007,17689.285,140.391
1563494453.203557,60.219,17761.096,140.367
1563494457.3905745,60.066,17686.74,140.148
1563494461.2931116,60.047,17686.469,140.312
1563494465.4571562,60.178,17693.496,140.039
1563494471.974055,60.22,17740.131,140.25
1563494473.2980032,60.185,17687.268,140.125
1563494477.4582634,60.079,17774.434,140.289
1563494481.3586333,60.194,17751.594,140.047
1563494485.230912,60.074,17756.23,140.961
1563494489.4364963,60.205,17858.734,140.602
1563494493.4630852,60.243,17797.836,140.094
1563494497.3582284,60.095,17878.457,140.961
1563494501.341112,60.218,17686.285,140.375
1563494505.5350564,60.13,17725.439,140.852
1563494509.4765499,60.05,17768.404,140.297
1563494513.3238897,60.065,17753.465,140.859
1563494517.2510731,60.172,17667.543,140.289
1563494521.3751006,60.052,17733.961,140.516
1563494525.3342197,60.134,17691.037,140.305
1563494529.5307965,59.796,17722.957,140.07
1563494533.2950995,59.796,17747.699,140.773
1563494537.2649748,59.863,14728.486,140.102
1563494541.4530828,59.951,14686.695,140.992
1563494545.3125746,59.799,14599.522,140.453
1563494549.3238528,59.961,14626.395,140.711
1563494553.4658356,59.989,17144.859,140.68
1563494557.3908834,59.848,16045.162,140.664
1563494561.5300727,59.815,15967.122,140.328
1563494565.6960957,59.912,15954.061,140.711
1563494569.3756926,59.967,15969.65,140.375
1563494573.364181,59.886,15953.751,140.477
1563494577.36847,59.844,16017.238,140.984
1563494581.368051,59.802,16014.278,140.984
1563494585.359468,59.942,16045.387,140.82
1563494589.3740718,59.905,15977.251,140.992
1563494593.6034436,59.986,15538.911,140.156
1563494597.6490254,59.849,15519.162,140.406
1563494601.5486946,59.805,15518.205,140.109
1563494605.4974692,59.867,15519.788,140.773
1563494609.9323485,59.883,15492.43,140.117
1563494613.9160728,59.775,15514.021,140.125
1563494617.4672573,59.88,15519.133,140.438
1563494621.5905116,59.986,15523.723,140.68
1563494625.8695185,59.874,15550.117,140.188
1563494629.4814053,59.8,15545.551,141.586
1563494633.5132806,59.939,15505.616,140.062
1563494637.4566932,59.848,15761.516,140.055
1563494641.4618726,59.782,15778.491,141.352
1563494645.5781004,59.918,15747.534,141.414
1563494649.460499,59.849,15778.759,141.414
1563494653.4938326,59.852,15777.803,141.367
1563494657.6417315,59.85,15752.111,140.625
1563494661.5871031,59.856,15720.854,140.711
