timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563562807.188427,60.007,30119.439,140.156
1563562811.3094997,60.099,28682.492,140.758
1563562815.2353122,60.154,30252.402,140.492
1563562819.2247717,60.038,28691.93,140.039
1563562824.2282584,60.076,28782.727,140.359
1563562827.3767715,60.232,28791.988,140.219
1563562831.2129693,60.173,28716.842,140.359
1563562835.269123,60.056,28627.816,140.625
1563562839.3340397,60.144,28544.324,140.391
1563562843.5368352,60.238,28637.275,140.117
1563562847.3722246,60.213,30021.693,140.242
1563562851.4210017,60.239,28671.525,140.727
1563562855.5306096,60.046,28629.113,140.625
1563562859.4565876,60.134,28460.41,140.75
1563562863.2385507,60.211,30101.326,140.641
1563562867.2506578,60.152,28448.389,140.633
1563562871.319175,60.151,28582.301,140.852
1563562875.3201044,60.184,28416.633,140.336
1563562879.2655122,60.001,28438.734,140.328
1563562883.3562202,60.196,28482.686,140.953
1563562887.4677484,60.139,28658.275,140.055
1563562891.261527,60.119,28564.254,140.195
1563562895.4005716,60.179,28346.816,140.266
1563562899.3158445,60.19,28377.85,140.75
1563562903.4037828,60.127,27640.057,140.148
1563562907.499282,60.155,29204.143,140.312
1563562911.2884536,60.027,27632.35,140.719
1563562915.3272622,60.125,27577.668,140.078
1563562919.414869,60.217,27396.35,140.531
1563562923.3216968,60.085,27465.561,140.641
1563562927.5298321,60.197,27506.189,140.516
1563562931.5191166,60.102,27406.617,140.344
1563562935.4097817,60.174,27490.744,140.297
1563562939.4462745,60.199,27445.258,140.484
1563562945.4274554,60.052,27393.857,140.75
1563562947.3454332,60.174,29194.93,140.195
1563562951.3855083,60.054,27508.73,140.203
1563562955.3363364,60.062,27510.51,140.633
1563562959.3304253,60.21,27364.801,140.141
1563562963.4056756,60.185,27264.426,140.211
1563562967.489365,60.107,27434.881,140.758
1563562971.472858,60.045,27484.371,140.109
1563562975.3515751,60.057,27416.854,140.758
1563562979.3637457,60.121,33117.84,140.195
1563562983.3640718,60.038,33191.488,140.211
1563562987.4628134,60.105,35018.445,140.781
1563562991.4525423,60.099,33431.184,140.039
1563562995.473217,60.154,33458.148,140.883
1563562999.4507968,60.178,33450.855,140.547
1563563003.3920956,60.068,33444.07,140.062
1563563007.4613886,60.046,33786.52,140.711
1563563011.3782659,60.053,33583.434,140.492
1563563015.5818799,60.223,33592.98,140.844
1563563019.431307,60.193,33586.965,140.352
1563563023.6933734,60.152,35266.43,140.5
1563563027.4837925,60.156,33359.246,140.211
1563563031.507814,60.248,33500.988,140.711
1563563035.5608628,60.047,33468.742,140.781
1563563039.598685,60.245,33474.98,140.438
1563563043.4278767,60.194,31112.094,140.562
1563563047.4984245,60.152,31213.846,140.195
1563563051.6060297,60.151,31357.822,140.336
1563563055.6426418,60.165,31105.707,140.023
1563563059.5018573,60.175,31216.98,140.797
1563563063.6442723,60.122,31715.676,140.586
1563563067.4726486,60.16,31303.283,140.461
1563563071.4780645,60.237,31139.535,140.5
1563563075.4664676,60.168,31152.016,140.867
1563563079.5383413,60.139,31179.635,140.938
1563563083.5431263,60.168,33347.301,140.688
