timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563537605.330245,60.02,21581.299,141.383
1563537609.3167334,60.088,21629.713,141.203
1563537613.3674502,60.174,21577.422,141.875
1563537617.3354976,60.055,21582.285,141.648
1563537621.3288693,60.047,21589.168,141.125
1563537625.3490195,60.143,21461.16,141.07
1563537629.3690784,60.219,21457.617,141.938
1563537633.3570268,60.093,21469.031,141.75
1563537637.347496,60.198,21460.688,141.312
1563537641.3776095,60.2,21460.221,141.023
1563537645.6408439,60.13,21399.43,141.336
1563537649.4236248,60.212,21460.838,141.156
1563537653.441735,60.232,21497.379,141.117
1563537657.407473,60.084,21386.605,141.188
1563537661.4199631,60.031,21453.232,141.727
1563537665.4170382,60.158,21459.205,141.023
1563537669.4379203,60.102,21339.434,141.438
1563537673.4243386,60.243,21325.766,141.367
1563537677.4424908,60.055,21330.109,141.234
1563537681.4453099,60.013,21387.92,141.984
1563537685.4943104,60.21,21271.996,141.797
1563537689.4578624,60.103,21332.885,141.773
1563537693.4654436,60.01,21262.949,141.781
1563537697.4821317,60.217,21335.355,141.594
1563537701.4900014,60.195,21337.635,141.953
1563537705.8107364,60.097,21280.75,140.938
1563537709.5045478,60.035,21459.012,141.562
1563537713.506968,60.149,20241.883,141.352
1563537717.5279791,60.044,20116.139,141.648
1563537721.5105412,60.026,20115.463,141.141
1563537725.5159576,60.176,20193.801,141.391
1563537729.5991871,60.082,20176.965,141.812
1563537733.5555644,60.098,20174.139,141.789
1563537737.5966108,60.027,20198.574,141.734
1563537741.5601652,60.045,19985.918,141.844
1563537745.5659907,60.04,19984.035,141.609
1563537749.5658553,60.136,20188.139,141.43
1563537753.574847,60.223,20113.449,141.305
1563537757.5697923,60.183,20121.893,141.391
1563537761.5713234,60.187,20191.693,141.289
1563537765.9756713,60.01,19971.545,141.461
1563537769.5778956,60.206,20186.451,141.234
1563537773.5834692,60.168,19998.828,141.234
1563537777.5959558,60.005,20178.436,141.305
1563537781.5949404,60.175,20119.186,141.648
1563537785.6480732,60.117,20192.688,141.453
1563537789.6189334,60.03,20134.871,141.148
1563537793.6341922,60.186,20183.484,141.742
1563537797.6567192,60.005,20132.189,141.328
1563537801.6387458,60.245,20203.945,141.547
1563537805.6228776,60.195,20191.389,141.875
1563537809.6479285,60.128,20174.125,141.727
1563537813.6412883,60.024,20036.744,141.242
1563537817.6432147,60.167,20048.898,141.977
1563537821.6431499,60.113,20057.023,141.445
1563537825.978468,60.036,20221.758,141.109
1563537829.672862,60.015,19981.998,141.484
1563537833.6758242,60.115,20021.502,141.836
1563537837.7270615,60.031,20042.152,141.477
1563537841.6729045,60.16,20177.143,141.234
1563537845.74088,60.045,20165.672,141.82
1563537849.6913173,60.047,14795.667,141.5
1563537853.7017198,60.212,14760.991,141.938
1563537857.752953,60.166,14764.04,141.539
1563537861.740689,59.936,14783.278,141.5
1563537865.7139347,59.849,14761.265,141.102
1563537869.7288733,59.879,14836.078,141.148
1563537873.7442966,59.969,14726.135,141.844
1563537877.9195418,59.775,14735.378,141.211
1563537881.8736765,59.835,14732.774,141.305
1563537885.9797125,59.885,14728.727,141.148
1563537889.7593267,59.871,14840.851,141.773
1563537893.9731529,59.774,14741.591,141.328
1563537897.914189,59.894,14776.218,141.273
1563537901.8420243,59.919,14730.091,141.602
1563537905.8389397,59.758,14794.706,141.742
1563537909.9285169,59.852,14776.736,141.062
1563537913.7954924,59.883,14776.689,141.883
1563537917.9765747,59.755,14720.896,141.156
1563537921.9136508,59.995,14721.616,141.992
1563537925.8086526,59.878,14783.922,141.703
1563537929.9612195,59.854,14867.119,141.664
1563537933.8479376,59.905,14821.397,141.102
1563537937.8148835,59.897,14776.111,141.109
1563537941.9549193,59.756,14764.432,141.312
1563537946.3103704,59.766,14812.178,141.328
1563537950.0164435,59.845,14843.636,141.078
1563537953.9389458,59.92,14829.301,141.789
1563537957.937272,59.829,14840.84,141.812
1563537961.8870456,59.841,14785.938,141.086
1563537965.9585054,59.898,14809.004,141.648
1563537969.9723213,60.078,14891.211,141.141
1563537973.8768883,60.08,14853.352,141.125
1563537977.8909109,60.057,14818.464,141.023
1563537981.8754287,60.066,14842.504,141.281
1563537986.0166287,60.117,14896.631,141.234
1563537990.0174162,60.006,14938.234,141.531
1563537994.0763807,60.028,14888.962,141.695
1563537998.0777295,60.176,14832.074,141.43
1563538002.030126,59.907,14789.16,141.938
1563538006.318039,59.798,14743.607,141.117
1563538009.9625099,59.794,14789.232,141.547
1563538013.9912636,59.978,14808.876,141.125
1563538018.130957,59.829,14841.99,141.977
1563538022.1110663,59.904,14833.082,141.867
1563538026.0893464,59.88,14765.552,141.891
1563538030.012936,59.855,14805.297,141.023
1563538034.1403046,59.939,14833.055,141.93
1563538038.1027107,59.974,14809.525,141.719
1563538041.9640923,59.999,14777.559,141.688
1563538045.942412,59.966,17568.209,141.375
1563538049.9434087,59.879,17713.631,141.672
1563538053.9565294,59.761,17855.236,141.125
1563538058.0061777,59.961,17706.723,141.078
1563538061.9856498,60.189,17573.744,141.766
1563538066.1457922,60.157,17731.732,141.531
1563538069.9851413,60.103,17739.363,141.984
1563538073.9823987,60.06,17741.504,141.031
1563538077.9976285,60.108,17678.764,140.625
1563538082.0155954,60.146,17677.326,140.336
1563538086.0901115,60.122,17645.805,140.195
1563538090.0211172,60.064,17621.91,140.219
1563538094.0422878,60.081,17739.625,140.0
1563538098.030229,60.148,17737.764,140.008
1563538102.0936117,60.041,17743.777,140.781
1563538106.0581665,60.147,17698.688,140.328
1563538110.041852,60.071,17771.195,140.07
1563538114.0516758,60.248,17721.348,140.586
1563538118.0798602,60.116,17731.613,140.977
1563538122.0658414,60.101,17790.156,140.078
1563538126.3206809,60.244,17791.324,140.258
1563538130.070375,60.063,17735.938,140.922
1563538134.0741293,60.051,17742.42,140.016
1563538138.091875,60.019,17764.361,140.43
1563538142.1995401,60.006,18252.164,140.375
1563538146.113918,60.098,18024.102,140.742
1563538150.0950456,60.125,17942.309,140.758
1563538154.1511316,60.116,18029.932,140.117
1563538158.1147954,59.867,17942.285,140.641
1563538162.122942,59.925,18009.809,140.164
