timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563548407.958314,60.087,31284.252,139.711
1563548412.0528684,60.142,29634.016,139.055
1563548415.9632177,60.027,28841.895,139.547
1563548419.9300425,60.238,28875.867,139.891
1563548424.117487,60.041,28875.896,139.969
1563548427.9689417,60.049,26283.426,139.945
1563548431.9448261,60.004,25904.137,139.922
1563548435.9705882,60.213,25923.785,139.539
1563548440.222738,60.135,25916.793,139.961
1563548444.2645802,60.168,25925.934,139.242
1563548448.01707,60.204,25908.713,139.922
1563548452.1294403,59.988,25905.24,139.695
1563548456.0387135,59.832,25865.834,139.664
1563548459.9789853,59.858,25804.0,139.266
1563548464.0241656,59.964,25746.004,139.547
1563548468.2038825,59.941,25745.275,139.875
1563548471.9823627,59.931,25744.008,139.719
1563548476.05124,59.863,25745.961,139.766
1563548480.0579839,59.826,25750.75,139.703
1563548484.2002618,59.811,25757.748,139.008
1563548488.119088,59.832,25755.893,139.234
1563548492.1833544,59.821,25771.883,139.125
1563548496.276348,59.986,25814.691,139.625
1563548500.1469355,59.839,25558.623,139.359
1563548504.2690127,59.904,25561.064,139.047
1563548508.0442014,59.889,25553.252,139.75
1563548512.125757,59.991,25568.785,139.758
1563548516.202382,60.184,25555.492,139.391
1563548520.1638954,60.197,25517.334,139.109
1563548524.0539327,60.072,25391.691,139.953
1563548528.2757962,59.814,25226.625,139.734
1563548532.080844,59.87,25326.309,139.25
1563548536.1508896,59.849,25316.641,139.906
1563548540.0742323,59.824,25332.684,139.242
1563548544.0726573,59.82,25227.496,139.977
1563548548.0861702,59.977,25357.73,139.25
1563548552.0739567,59.779,25467.166,139.461
1563548556.0862005,59.805,25457.734,139.289
1563548560.2570744,59.795,25449.84,139.227
1563548564.4381497,59.794,25442.607,139.914
1563548568.1012158,59.96,21494.291,139.922
1563548572.2118342,59.753,21584.924,139.258
1563548576.1071243,59.999,21608.088,139.773
1563548580.265616,59.764,21588.91,139.68
1563548584.1071582,60.024,21569.135,139.883
1563548588.1614668,60.001,21594.059,139.484
1563548592.2446148,60.24,21611.037,139.289
1563548596.1220741,60.013,21580.482,139.742
1563548600.1328006,60.248,21579.006,139.391
1563548604.1811543,60.013,21588.697,139.898
1563548608.2069695,60.161,21617.721,139.938
1563548612.364266,60.084,21614.389,139.125
1563548616.2417378,60.056,21510.9,139.508
1563548620.3285732,59.822,21357.688,139.211
1563548624.272844,59.815,21230.693,139.461
1563548628.1663353,59.883,21074.256,139.727
1563548632.150189,59.993,21076.461,139.578
1563548636.3183997,59.904,21113.996,139.633
1563548640.3892748,59.825,21092.152,139.57
1563548644.2618132,59.811,21083.543,139.273
1563548648.3168597,59.821,21059.053,140.414
1563548652.1787806,59.822,21057.273,140.516
1563548656.1889403,59.842,21045.672,139.773
1563548660.2014592,59.911,21089.248,140.156
1563548664.2093587,59.824,21086.346,140.242
1563548668.2009666,59.851,21082.754,140.516
1563548672.2061787,59.857,21068.707,140.461
1563548676.21675,59.883,21181.213,140.523
1563548680.2109342,60.116,21042.355,139.852
1563548684.4423087,60.125,21036.699,139.648
