timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563487206.9870741,60.098,19620.07,142.391
1563487211.0359538,60.079,19597.082,142.094
1563487215.3396168,60.011,19593.85,142.383
1563487219.0130982,60.005,19795.676,142.219
1563487223.2230482,60.198,19777.555,142.078
1563487227.2166371,60.178,19726.771,142.125
1563487231.138592,60.179,19826.764,142.461
1563487235.0384588,60.074,19712.316,142.086
1563487239.0529058,60.146,19729.91,142.578
1563487243.1840005,60.038,19791.943,142.016
1563487247.315852,60.114,15737.666,142.484
1563487251.0395777,60.023,15686.363,142.055
1563487255.169134,60.076,15780.955,142.523
1563487259.081657,60.023,15792.206,142.031
1563487263.2926416,60.001,15782.676,142.344
1563487267.111396,60.037,15749.078,142.172
1563487271.0712721,60.029,15747.979,142.914
1563487275.1526997,60.2,15803.577,142.883
1563487279.0921395,60.036,15720.957,142.32
1563487283.0994396,60.042,15624.614,142.469
1563487287.185498,60.122,15717.647,142.453
1563487291.2540307,60.007,15737.85,142.234
1563487295.1271517,60.245,15693.323,142.07
1563487299.2721395,60.217,15726.592,142.672
1563487303.2736635,60.033,15794.488,142.312
1563487307.1358688,60.233,15792.559,142.258
1563487311.3234634,60.008,15799.154,142.242
1563487315.2889931,60.058,15773.332,142.961
1563487319.144307,60.165,13954.918,142.188
1563487323.3572652,60.042,13989.983,142.875
1563487327.1574771,60.032,14001.552,142.883
1563487331.1899903,60.224,14009.246,142.703
1563487335.1610222,60.105,13979.174,142.773
1563487339.2795715,60.117,13995.07,142.477
1563487343.1680784,60.204,13993.012,143.906
1563487347.2143297,60.092,13934.717,143.461
1563487351.1687095,60.079,13917.523,142.914
1563487355.2585387,60.068,13936.12,142.234
1563487359.2030146,60.177,15666.298,142.391
1563487363.2766218,60.229,15836.499,142.32
1563487367.2012103,60.152,15935.221,142.156
1563487371.2925467,60.238,15969.443,142.742
1563487375.2099855,60.039,16041.537,142.047
1563487379.2634146,60.127,15926.271,142.648
1563487383.2243495,60.105,15931.338,142.422
