timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563508806.907292,60.165,8768.263,142.195
1563508810.8970544,60.072,8797.73,142.695
1563508814.919291,60.012,8817.377,142.219
1563508818.955467,60.213,8777.707,142.25
1563508822.9232996,60.075,8796.961,142.75
1563508826.9552116,60.206,8772.432,142.25
1563508830.9262004,60.089,8775.021,142.109
1563508834.9320369,60.229,8776.101,142.773
1563508838.933237,60.14,8775.358,142.141
1563508843.0565138,60.239,8777.783,142.977
1563508847.042859,60.21,8714.307,142.844
1563508850.9674845,60.034,8731.959,142.875
1563508854.9728174,60.033,8759.058,142.281
1563508858.9749959,60.038,8713.982,142.328
1563508862.9867542,60.102,8880.143,142.758
1563508866.9738173,60.111,8869.528,142.266
1563508871.0381613,60.186,8777.164,142.523
1563508875.0048435,60.103,8776.399,142.109
1563508879.0319197,60.06,8821.407,142.75
1563508883.0209157,60.022,8735.516,142.328
1563508887.0473866,60.005,8760.465,142.055
1563508891.0809612,60.084,8756.814,142.609
1563508895.049712,60.108,8754.93,142.562
1563508899.04992,60.042,8704.265,142.219
1563508903.1950834,60.247,8692.418,142.883
1563508907.0701761,60.033,8645.035,142.945
1563508911.0754905,60.074,8739.681,142.828
1563508915.0739462,60.007,8748.007,142.961
1563508919.0931365,60.061,8712.406,142.742
1563508923.1206412,60.029,8725.657,142.75
1563508927.123923,60.073,8714.33,142.688
1563508931.111922,60.161,8798.5,142.25
1563508935.1079504,60.115,8734.842,142.414
1563508939.6220999,60.213,8791.856,142.688
1563508943.1105433,60.088,8718.672,142.734
1563508947.1242902,60.074,8735.011,142.555
1563508951.1227114,60.181,8970.965,142.047
1563508955.155708,60.166,8965.677,142.68
1563508959.1380389,60.123,8962.156,142.258
1563508963.3331056,60.198,8986.215,142.938
1563508967.1538885,60.087,8900.998,142.391
1563508971.1654608,60.168,8901.572,142.477
1563508975.1579554,60.067,8887.753,142.578
1563508979.176519,60.106,8892.963,142.922
1563508983.1678267,60.058,8836.316,142.281
1563508987.201256,60.137,8848.68,142.695
1563508991.1817398,60.175,8863.183,142.914
1563508995.2231355,60.073,8864.199,142.898
1563508999.2294462,60.241,8839.127,142.742
1563509003.241455,60.245,8855.204,142.586
1563509007.2131212,60.048,8860.292,142.711
1563509011.2577255,60.179,8856.15,142.539
1563509015.2340174,60.023,8853.143,142.531
1563509019.6817713,60.231,8879.982,142.625
1563509023.5793414,60.166,8788.706,142.25
1563509027.2590332,60.079,8789.577,142.633
1563509031.3499386,60.069,8785.625,142.852
1563509035.2707834,60.088,8777.239,142.945
1563509039.4168718,60.249,8821.797,142.469
1563509043.5763788,60.208,8815.968,142.945
1563509047.4430296,60.224,8711.127,142.312
1563509051.450313,60.088,8752.589,142.82
1563509055.4463725,60.067,8773.703,142.008
1563509059.4577138,60.204,8835.38,142.891
1563509063.40067,60.001,8815.764,142.141
1563509067.3230824,60.187,8770.452,142.375
1563509071.320434,60.223,8830.508,142.547
1563509075.5154603,60.135,8807.354,142.859
1563509079.4401076,60.245,8791.093,142.227
1563509083.4702518,60.076,8721.414,142.656
1563509088.0834088,60.159,8734.057,142.938
1563509091.4001625,60.164,8718.093,142.727
1563509095.3751252,60.082,8712.027,142.617
1563509099.350152,60.12,8737.361,142.008
1563509103.4086616,60.119,8761.98,142.555
1563509107.584934,60.057,8736.8,142.117
1563509111.501343,60.178,8739.511,142.719
1563509115.5525272,60.15,8748.653,142.242
1563509119.5287356,60.031,8751.354,142.109
1563509123.3860748,60.075,8752.271,142.688
1563509127.518969,60.022,8686.581,142.156
1563509131.537913,60.085,8661.203,142.188
1563509135.4085999,60.184,8666.341,142.648
1563509139.4170341,60.126,8672.128,142.031
1563509143.4940085,60.091,8699.379,142.18
1563509147.4943545,60.247,8697.149,142.992
1563509151.4348783,60.188,8703.025,142.734
1563509155.4443266,60.162,8702.423,142.023
1563509159.444154,60.092,8625.889,142.414
1563509163.6155756,60.179,8514.879,142.281
1563509167.5122817,60.073,8546.524,142.836
1563509171.5262735,60.121,8558.578,142.43
1563509175.5149899,59.839,8543.364,142.781
1563509179.5895855,59.954,8513.926,142.516
1563509183.4852712,59.94,8549.406,142.953
1563509187.4951441,59.896,8554.794,142.242
1563509191.6515884,59.947,8548.428,142.664
1563509195.5226488,59.981,8553.381,142.5
1563509199.7231615,59.833,8553.922,142.102
1563509203.7234917,59.774,8511.437,142.203
1563509207.6386702,59.934,8489.612,142.953
1563509211.5367148,59.825,8528.314,142.133
1563509215.6250405,59.758,8550.192,142.562
1563509219.585168,59.888,8554.174,142.789
1563509223.8029733,59.956,8515.562,142.953
1563509227.7781575,59.761,8547.579,142.688
1563509231.6557477,59.751,8488.584,142.156
1563509235.664314,59.799,8461.525,142.555
1563509239.5813582,59.999,8478.223,142.953
1563509243.6090887,59.89,8489.977,142.562
1563509247.6662796,60.02,8501.684,142.047
1563509251.6021903,60.07,8452.409,142.969
1563509255.7812057,60.077,8466.017,142.453
1563509259.5991666,60.024,8487.217,142.93
1563509263.7214632,60.202,8453.133,142.453
1563509267.624312,60.143,8490.039,142.141
1563509271.7866547,60.022,8529.645,142.398
1563509275.668523,60.073,8548.729,142.461
1563509279.723889,60.248,8453.28,142.641
1563509283.7177937,60.012,8559.842,142.352
1563509287.7917154,60.094,8455.051,142.992
1563509291.8173265,60.034,8494.739,142.0
1563509295.700968,60.104,8484.729,142.883
1563509299.8093486,60.075,8520.475,142.852
1563509303.746125,60.038,8493.494,142.75
1563509307.861573,60.234,8494.148,142.383
1563509311.7112122,60.188,8487.256,142.398
1563509315.6599517,60.09,8558.046,142.086
1563509319.8130422,60.156,8475.713,142.922
1563509324.2229726,60.007,8511.221,142.656
1563509327.922536,60.092,8492.066,142.164
1563509331.8676183,60.16,8449.404,142.234
1563509335.755139,60.173,8549.977,142.602
1563509339.7832587,60.023,8558.065,142.641
1563509343.7172768,60.149,8513.766,142.484
1563509347.8101456,60.03,8558.645,142.75
1563509351.846377,60.007,8542.205,142.875
1563509355.7730505,60.141,8514.114,142.18
1563509359.728875,60.041,8519.963,142.734
1563509364.1796885,60.186,8519.784,142.164
1563509367.7909153,60.021,8550.228,142.258
1563509371.7955542,60.132,8518.745,142.453
1563509375.8748088,60.045,8537.908,142.242
1563509379.905202,60.209,8574.575,142.469
1563509383.896475,60.168,8562.329,142.609
1563509387.7978413,60.167,8555.939,142.047
1563509391.9689517,60.248,8529.083,142.164
1563509395.8946016,59.758,8547.088,142.625
1563509399.9060934,59.854,8534.719,142.992
1563509404.1115038,59.978,8550.531,142.555
1563509407.8445187,59.958,8545.281,142.312
1563509411.829654,59.807,8548.77,142.094
1563509415.8871782,59.782,8534.119,142.781
1563509419.8172114,59.876,8450.137,142.383
1563509423.8311017,59.82,8488.517,142.742
1563509427.8222704,59.868,8514.787,142.078
1563509431.8419852,60.006,8548.086,142.609
1563509435.824654,60.205,8491.671,142.438
1563509439.8677933,60.162,8574.318,142.906
1563509443.8940418,59.983,8516.733,142.633
1563509447.879691,59.976,8454.285,142.594
1563509451.884709,59.78,8491.882,142.672
1563509455.9106905,59.952,8453.814,142.242
1563509459.9011462,59.834,8490.01,142.344
1563509463.9496865,59.798,8449.463,142.625
1563509467.9042697,59.996,8483.676,142.828
1563509471.905102,59.97,8487.303,142.797
1563509475.9436977,59.981,8505.512,142.258
1563509479.9551153,59.952,8449.011,142.891
1563509483.9356883,59.896,8467.875,142.555
1563509487.9254901,59.823,8505.867,142.789
