timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563512407.7324445,122.5,245.109,245.102,-14137.81,10424.414,18921.816,0.652,60.116,13.945,-7958.75,741.315,-6928.069,4851.904,291.682,5250.031,9327.75,798.144,8715.398,0.852,-0.572,0.795,70.881,0.179,141.195
1563512411.7368097,122.5,245.11,245.101,-14139.57,10468.795,18788.609,0.683,60.018,12.32,-7905.312,721.427,-6928.392,4875.431,336.434,5263.875,9332.75,796.88,8653.07,0.855,-0.837,0.793,71.318,0.25,141.836
1563512415.741214,122.5,245.103,245.097,-14124.937,10503.651,18941.266,0.751,60.12,12.257,-7913.562,751.956,-6911.924,4727.992,600.73,5223.812,9279.625,960.752,8682.179,0.854,-0.95,0.794,70.842,0.154,141.289
1563512419.7493916,122.5,245.096,245.088,-14102.983,10252.434,18808.469,0.634,60.045,14.256,-7964.688,741.427,-6895.247,4870.921,179.803,5245.5,9309.25,763.199,8694.562,0.852,-0.603,0.796,70.884,0.207,141.484
1563512423.7505887,122.5,245.071,245.062,-14093.187,10181.041,18780.875,0.656,60.138,10.255,-7951.125,740.538,-6894.807,4870.587,100.406,5232.006,9312.375,830.827,8667.713,0.852,-1.005,0.793,70.895,0.238,141.086
1563512427.76339,122.5,245.05,245.041,-14018.181,10622.902,18872.25,0.746,60.093,12.754,-7931.312,721.778,-6894.631,4738.504,636.129,5189.75,9276.75,960.686,8616.428,0.855,-0.911,0.8,70.516,0.218,141.219
1563512431.7676234,122.5,245.037,245.027,-14077.005,10339.255,18626.316,0.636,60.134,14.441,-7935.125,720.293,-6862.249,4882.691,248.109,5229.062,9290.5,760.286,8629.324,0.855,-0.618,0.795,70.87,0.21,141.117
1563512435.7829099,122.5,245.02,245.01,-14015.559,10214.273,18769.877,0.72,60.136,13.315,-7873.812,789.153,-6885.005,4849.678,111.913,5244.062,9277.125,798.649,8648.486,0.853,-0.555,0.794,70.901,0.212,141.359
1563512439.7852175,122.5,244.998,245.989,-14027.251,10620.047,18863.148,0.75,60.09,11.377,-7874.562,723.133,-6894.353,4724.779,636.359,5221.594,9200.0,962.584,8679.686,0.849,-0.98,0.797,70.87,0.244,141.969
1563512443.9382813,122.5,244.99,245.98,-14024.015,10262.484,18668.594,0.754,60.102,9.189,-7890.188,741.159,-6882.895,4817.578,227.977,5219.5,9255.875,773.762,8678.58,0.853,-0.954,0.796,71.454,0.272,141.094
1563512447.798508,122.5,244.977,245.968,-15043.53,10311.203,19568.039,0.674,60.08,11.188,-7890.875,741.065,-7917.816,4836.413,371.926,5145.312,9227.25,830.758,9433.498,0.853,-0.979,0.795,70.917,0.158,140.633
1563512451.8020067,122.5,244.933,245.932,-14998.355,10558.135,19473.648,0.77,59.895,2.156,-7890.656,741.803,-7885.051,4853.34,395.799,5273.688,9216.875,843.003,9480.744,0.848,-0.883,0.835,70.589,0.236,141.953
1563512455.8096383,122.5,244.904,245.908,-15000.59,10298.1,19524.789,0.677,59.936,5.687,-7898.75,742.313,-7885.406,4845.271,179.538,5243.625,9274.625,762.845,9458.776,0.855,-0.602,0.835,70.591,0.203,140.828
1563512459.8113823,122.5,244.866,245.878,-15008.377,10204.744,19475.416,0.768,59.915,1.07,-7889.732,790.507,-7875.221,4829.089,111.766,5267.312,9233.75,797.877,9476.641,0.853,-0.99,0.834,70.568,0.198,141.273
1563512463.821435,122.5,244.835,245.852,-14957.518,10310.934,19541.672,0.763,59.986,2.89,-7878.375,781.034,-7815.06,4843.543,244.328,5268.75,9239.375,818.077,9444.965,0.853,-0.954,0.829,70.71,0.255,141.078
1563512467.822618,122.5,244.835,245.85,-14845.829,10150.717,19340.562,0.763,59.943,1.718,-7879.312,780.691,-7718.579,4846.012,0.0,5248.0,9251.25,782.266,9357.158,0.848,-1.008,0.824,70.771,0.138,141.008
1563512471.833127,122.5,244.839,245.855,-14910.617,10438.258,19396.148,0.767,59.802,3.374,-7892.312,720.342,-7691.509,4852.961,337.965,5259.188,9251.875,798.471,9282.292,0.851,-0.906,0.828,70.659,0.31,140.227
1563512475.8434467,122.5,244.838,245.852,-14785.906,10492.395,19393.18,0.764,59.957,3.296,-7890.438,741.524,-7690.875,4853.56,345.447,5279.938,9246.875,818.699,9314.025,0.851,-0.906,0.828,70.679,0.132,141.906
1563512479.8434703,122.5,244.83,245.842,-14788.287,10581.969,19470.336,0.759,59.873,3.718,-7896.125,781.806,-7686.125,4852.283,460.871,5262.688,9240.625,906.52,9322.611,0.854,-0.86,0.826,70.693,0.187,141.703
1563512483.8455536,122.5,244.811,245.823,-14856.329,10412.551,19402.938,0.768,59.892,2.687,-7912.625,721.491,-7691.151,4882.017,248.686,5257.0,9326.5,761.399,9326.772,0.851,-0.949,0.824,70.612,0.355,140.07
1563512487.8537247,122.5,244.791,245.804,-14863.622,10577.754,19379.602,0.765,59.92,3.531,-7884.812,720.587,-7691.729,4862.525,472.598,5258.812,9263.125,861.854,9320.342,0.855,-0.836,0.825,70.666,0.205,140.82
1563512491.863102,122.5,244.773,245.785,-14863.029,10593.72,19469.438,0.762,59.913,2.656,-7884.938,723.651,-7691.21,5045.915,248.451,5289.0,9344.0,761.685,9326.896,0.843,-0.949,0.824,70.574,0.168,141.125
1563512495.8693085,122.5,244.757,245.77,-14808.184,10125.777,19387.125,0.762,59.941,1.164,-7840.285,765.453,-7742.712,4833.991,0.0,5280.0,9234.125,764.88,9405.424,0.848,-1.006,0.824,70.568,0.244,141.312
1563512499.8674004,122.5,244.738,245.751,-14809.856,10619.481,19346.633,0.766,59.83,3.359,-7902.438,740.382,-7691.979,4861.921,441.457,5257.062,9266.875,862.218,9320.166,0.851,-0.863,0.825,70.65,0.202,140.07
1563512503.9374306,122.0,244.703,245.717,-14885.876,10417.762,19416.961,0.768,59.888,3.156,-7893.75,723.535,-7722.704,4870.816,248.144,5288.375,9247.25,763.997,9389.825,0.849,-0.949,0.824,70.547,0.206,140.828
